2023-24 (March) Attendance (District)  - All Students,,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),04450000,  95.8,   5.0,  14.8,   9.6,   1.3,   0.0
Abington,00010000,  93.4,   7.4,  24.2,  16.6,   4.0,  10.2
Academy Of the Pacific Rim Charter Public (District),04120000,  92.0,   8.5,  33.5,  31.2,   7.8,   0.0
Acton-Boxborough,06000000,  94.8,   5.7,  16.4,  12.0,   2.3,   0.0
Acushnet,00030000,  95.2,   5.4,  13.2,   9.6,   1.7,   4.3
Advanced Math and Science Academy Charter (District),04300000,  94.7,   5.8,  15.6,  10.3,   1.5,   0.2
Agawam,00050000,  93.0,   7.3,  25.1,  21.7,   4.6,   0.4
Alma del Mar Charter School (District),04090000,  94.0,   6.9,  23.8,  17.3,   2.5,   0.0
Amesbury,00070000,  93.6,   6.9,  23.0,  18.2,   4.9,   3.7
Amherst,00080000,  94.6,   6.3,  20.0,  15.0,   2.0,   4.4
Amherst-Pelham,06050000,  92.6,   8.1,  26.1,  22.3,   7.3,   7.1
Andover,00090000,  95.2,   5.2,  13.4,  10.9,   1.9,   2.3
Argosy Collegiate Charter School (District),35090000,  91.9,   8.8,  33.2,  26.3,   8.9,  22.6
Arlington,00100000,  95.0,   5.5,  14.7,  11.8,   1.8,   0.0
Ashburnham-Westminster,06100000,  95.1,   5.4,  14.6,  10.0,   1.5,  11.3
Ashland,00140000,  94.2,   6.4,  19.6,  14.0,   3.2,   3.7
Assabet Valley Regional Vocational Technical,08010000,  93.2,   7.4,  25.2,  21.1,   5.1,  13.8
Athol-Royalston,06150000,  93.4,   8.1,  28.6,  18.9,   5.1,  19.6
Atlantis Charter (District),04910000,  92.5,   8.4,  32.2,  24.5,   5.9,  17.7
Attleboro,00160000,  93.5,   7.0,  23.1,  18.0,   4.4,  12.5
Auburn,00170000,  94.6,   5.9,  18.1,  12.1,   1.8,   9.9
Avon,00180000,  95.2,   5.2,  15.2,  10.6,   1.9,   7.3
Ayer Shirley School District,06160000,  94.0,   6.5,  20.3,  15.1,   3.6,   0.0
Barnstable,00200000,  92.5,   8.1,  28.8,  22.8,   5.5,  20.7
Baystate Academy Charter Public School (District),35020000,  89.2,  12.1,  46.2,  39.6,  15.2,   0.0
Bedford,00230000,  94.9,   5.6,  15.3,   9.7,   1.8,   2.4
Belchertown,00240000,  93.8,   6.8,  22.7,  16.6,   3.5,  14.8
Bellingham,00250000,  93.6,   7.0,  22.0,  17.9,   4.4,  13.1
Belmont,00260000,  95.0,   5.4,  14.6,  10.8,   2.5,   4.0
Benjamin Banneker Charter Public (District),04200000,  95.2,   5.5,  19.8,  14.4,   1.7,   0.0
Benjamin Franklin Classical Charter Public (District),04470000,  94.5,   6.0,  17.7,  14.8,   1.3,  12.6
Berkley,00270000,  94.8,   5.7,  16.0,   9.9,   0.7,  16.0
Berkshire Arts and Technology Charter Public (District),04140000,  91.2,  10.2,  39.1,  31.4,   9.9,   0.0
Berkshire Hills,06180000,  91.9,   8.8,  33.3,  27.0,   6.3,   6.9
Berlin-Boylston,06200000,  95.1,   5.4,  15.4,  10.1,   1.5,   0.4
Beverly,00300000,  94.2,   6.9,  22.2,  14.7,   3.8,  12.2
Billerica,00310000,  94.3,   6.2,  19.1,  13.9,   3.1,  10.9
Blackstone Valley Regional Vocational Technical,08050000,  95.6,   5.4,  17.0,   9.0,   0.8,   3.5
Blackstone-Millville,06220000,  94.0,   6.4,  19.9,  14.7,   3.1,   8.8
Blue Hills Regional Vocational Technical,08060000,  94.5,   6.0,  17.7,  11.6,   2.1,   5.7
Boston,00350000,  89.9,  10.5,  35.6,  32.9,  12.6,  24.4
Boston Collegiate Charter (District),04490000,  93.3,   7.2,  23.6,  18.4,   3.9,   0.0
Boston Day and Evening Academy Charter (District),04240000,  74.0,  23.9,  71.5,  72.4,  51.8,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,  86.4,  14.2,  50.3,  47.7,  21.0,  40.4
Boston Preparatory Charter Public (District),04160000,  92.1,   8.9,  32.2,  27.6,   7.9,  17.8
Boston Renaissance Charter Public (District),04810000,  90.9,   9.9,  39.8,  35.5,  10.1,   0.0
Bourne,00360000,  93.1,   7.5,  25.0,  18.5,   3.5,   0.0
Boxford,00380000,  95.6,   5.0,  13.5,   7.2,   0.4,   6.4
Braintree,00400000,  95.1,   5.3,  15.1,  11.5,   2.4,   0.0
Brewster,00410000,  93.2,   7.2,  24.2,  21.5,   3.6,   5.2
Bridge Boston Charter School (District),04170000,  94.1,   6.7,  28.2,  18.1,   2.4,  25.8
Bridgewater-Raynham,06250000,  94.6,   5.9,  16.6,  11.5,   2.1,   0.2
Brimfield,00430000,  92.8,   7.9,  28.1,  21.2,   4.8,   0.0
Bristol County Agricultural,09100000,  93.9,   6.9,  23.5,  16.9,   3.2,   0.2
Bristol-Plymouth Regional Vocational Technical,08100000,  94.9,   5.6,  17.6,  11.5,   2.4,   7.5
Brockton,00440000,  92.1,   8.1,  27.7,  25.5,   7.6,  14.1
Brooke Charter School (District),04280000,  94.2,   6.8,  23.3,  15.9,   3.5,  14.3
Brookfield,00450000,  94.0,   6.6,  23.6,  16.2,   1.9,   0.0
Brookline,00460000,  94.8,   5.7,  16.3,  13.7,   2.8,   6.5
Burlington,00480000,  94.2,   6.2,  18.6,  16.4,   3.7,   6.0
Cambridge,00490000,  92.8,   7.7,  25.7,  22.7,   6.0,   6.6
Canton,00500000,  94.5,   6.0,  16.5,  12.5,   2.9,   6.9
