2022-23 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Abby Kelley Foster Charter Public (District),04450000,     352,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Abington,00010000,     541,       9,   1.7,   0.7,   2.4,   2.1,   1.5
Academy Of the Pacific Rim Charter Public (District),04120000,     243,       1,   0.4,   1.6,   0.0,   0.0,   0.0
Acton-Boxborough,06000000,"   1,682",       2,   0.1,   0.0,   0.0,   0.0,   0.4
Advanced Math and Science Academy Charter (District),04300000,     542,       1,   0.2,   0.7,   0.0,   0.0,   0.0
Agawam,00050000,"   1,047",      12,   1.1,   1.3,   0.8,   1.3,   1.2
Amesbury,00070000,     493,       7,   1.4,   0.0,   1.7,   0.0,   4.3
Amherst-Pelham,06050000,     855,       8,   0.9,   0.0,   0.0,   1.9,   1.9
Andover,00090000,"   1,663",       6,   0.4,   0.5,   0.5,   0.0,   0.5
Argosy Collegiate Charter School (District),35090000,     250,      11,   4.4,   2.1,   5.6,   2.0,  10.0
Arlington,00100000,"   1,527",       5,   0.3,   0.0,   0.0,   0.5,   0.8
Ashburnham-Westminster,06100000,     650,       3,   0.5,   0.0,   0.0,   0.6,   1.2
Ashland,00140000,     840,      14,   1.7,   1.8,   1.8,   2.3,   0.6
Assabet Valley Regional Vocational Technical,08010000,"   1,128",       6,   0.5,   0.3,   0.0,   0.4,   1.5
Athol-Royalston,06150000,     402,       8,   2.0,   1.7,   0.9,   2.0,   3.9
Atlantis Charter (District),04910000,     295,       2,   0.7,   0.0,   1.2,   0.0,   1.3
Attleboro,00160000,"   1,926",      24,   1.2,   2.4,   1.0,   0.9,   0.7
Auburn,00170000,     722,       4,   0.6,   1.1,   1.2,   0.0,   0.0
Avon,00180000,     209,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,     394,       2,   0.5,   0.0,   0.8,   1.1,   0.0
