2023 Graduation Rate (District) All Students 4-Year Graduation Rate,,,,,,,,
District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Abby Kelley Foster Charter Public (District),04450000,        88,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Abington,00010000,       153,    88.9,     1.3,     0.7,     0.0,     9.2,     0.0
Academy Of the Pacific Rim Charter Public (District),04120000,        54,    96.3,     1.9,     0.0,     0.0,     1.9,     0.0
Acton-Boxborough,06000000,       466,    96.1,     3.2,     0.2,     0.0,     0.4,     0.0
Advanced Math and Science Academy Charter (District),04300000,       139,    99.3,     0.7,     0.0,     0.0,     0.0,     0.0
Agawam,00050000,       267,    88.0,     1.1,     1.9,     0.4,     8.6,     0.0
Amesbury,00070000,       120,    88.3,     2.5,     0.8,     0.8,     7.5,     0.0
Amherst-Pelham,06050000,       219,    90.9,     4.1,     0.9,     0.9,     3.2,     0.0
Andover,00090000,       427,    96.3,     2.6,     0.5,     0.0,     0.7,     0.0
Argosy Collegiate Charter School (District),35090000,        55,    74.5,     7.3,     0.0,     0.0,    16.4,     1.8
Arlington,00100000,       385,    95.6,     3.4,     0.0,     0.0,     1.0,     0.0
Ashburnham-Westminster,06100000,       167,    96.4,     1.2,     0.0,     0.0,     2.4,     0.0
Ashland,00140000,       185,    96.2,     0.5,     0.5,     0.0,     2.7,     0.0
Assabet Valley Regional Vocational Technical,08010000,       263,    97.0,     0.0,     0.0,     0.0,     3.0,     0.0
Athol-Royalston,06150000,        84,    84.5,     9.5,     1.2,     0.0,     4.8,     0.0
Atlantis Charter (District),04910000,        82,    92.7,     0.0,     0.0,     0.0,     3.7,     3.7
Attleboro,00160000,       468,    90.8,     4.5,     0.0,     0.0,     4.7,     0.0
Auburn,00170000,       195,    97.4,     0.5,     1.0,     0.5,     0.5,     0.0
Avon,00180000,        44,    95.5,     2.3,     0.0,     0.0,     2.3,     0.0
Ayer Shirley School District,06160000,        99,    88.9,     7.1,     2.0,     0.0,     2.0,     0.0
Barnstable,00200000,       345,    84.9,     7.5,     1.4,     0.6,     5.5,     0.0
