"City","Median Rent","1 Month Change","1 Year Change"
"Massachusetts","$2,557","1.8%","3.3%"
"Winthrop, MA","$2,163","8.1%","10.9%"
"Andover, MA","$2,000","14.3%","3.9%"
"Haverhill, MA","$1,695","-0.3%","2.2%"
"Arlington, MA","$2,500","0%","22%"
"Framingham, MA","$2,000","4.4%","0.4%"
"Lowell, MA","$2,120","5.8%","21.1%"
"Brookline, MA","$2,900","2%","7.6%"
"Watertown Town, MA","$2,596","3.8%","6%"
"Brockton, MA","$1,685","2.4%","2.1%"
"New Bedford, MA","$1,590","9.7%","21.2%"
"Chelsea, MA","$2,200","0%","-10.4%"
"Malden, MA","$2,126","0.6%","6.3%"
"Fall River, MA","$1,497","-0.2%","14.4%"
"Newton, MA","$2,425","-2.1%","-1%"
"Worcester, MA","$1,725","-3.7%","-1.4%"
"Gardner, MA","$1,350","5.9%","6.4%"
"Boston, MA","$2,750","-1.8%","3.8%"
"Revere, MA","$2,337","1.6%","0.6%"
"Quincy, MA","$2,280","2.6%","0.6%"
"Lynn, MA","$2,145","1.6%","7.3%"
"Beverly, MA","$2,300","5.7%","6%"
"Waltham, MA","$2,400","2.3%","-13.4%"
"Middleborough, MA","$1,750","-5.9%","4.5%"
"Burlington, MA","$2,789","1.6%","1%"
"Wakefield, MA","$2,008","0.4%","-2%"
"Salem, MA","$2,200","3.5%","10%"
"Leominster, MA","$1,500","-6%","3.4%"
"Melrose, MA","$2,050","2.6%","-17.1%"
"Plymouth, MA","$2,575","7.8%","0.6%"
"Cambridge, MA","$2,937","1.3%","1%"
"Lexington, MA","$2,547","-1.5%","4.5%"
"Braintree, MA","$2,356","5.2%","-3%"
"Norwood, MA","$2,118","5.4%","-19.3%"
"Everett, MA","$2,075","-2.4%","7.8%"
"Somerville, MA","$2,700","0%","1.9%"
"Weymouth, MA","$2,079","-0.9%","-0.4%"
"Springfield, MA","$1,403","1.4%","2.6%"
"Woburn, MA","$2,187","1.3%","1.7%"
"Medford, MA","$2,495","0.9%","-4%"
"Gloucester, MA","$2,118","1.3%","0.9%"
