2022-23 SAT Performance Report - All Students,,,,,
District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,      83,516,,513
Abington,00010000,     107,548,,524
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,
Acton-Boxborough,06000000,     402,656,,680
Advanced Math and Science Academy Charter (District),04300000,     159,592,,614
Agawam,00050000,      88,563,,552
Amesbury,00070000,      64,563,,541
Amherst-Pelham,06050000,     143,624,,611
Andover,00090000,     410,611,,616
Argosy Collegiate Charter School (District),35090000,      10,522,,529
Arlington,00100000,     434,625,,620
Ashburnham-Westminster,06100000,      76,597,,583
Ashland,00140000,     220,588,,604
Assabet Valley Regional Vocational Technical,08010000,      46,540,,510
Athol-Royalston,06150000,      14,540,,485
Atlantis Charter (District),04910000,     129,431,,419
Attleboro,00160000,     231,554,,534
Auburn,00170000,     119,572,,561
Avon,00180000,      10,545,,507
Ayer Shirley School District,06160000,      51,554,,490
Barnstable,00200000,     151,565,,548
Baystate Academy Charter Public School (District),35020000,      26,447,,458
Bedford,00230000,     214,630,,637
Belchertown,00240000,     102,561,,543
Bellingham,00250000,      90,555,,517
Belmont,00260000,     351,644,,656
Berkshire Arts and Technology Charter Public (District),04140000,      12,575,,530
Berkshire Hills,06180000,      66,557,,532
Berlin-Boylston,06200000,      66,587,,581
Beverly,00300000,     277,553,,521
Billerica,00310000,     218,559,,551
Blackstone Valley Regional Vocational Technical,08050000,     201,573,,540
Blackstone-Millville,06220000,      35,537,,495
Blue Hills Regional Vocational Technical,08060000,      50,533,,505
Boston,00350000,"   3,083",510,,515
Boston Collegiate Charter (District),04490000,      68,478,,465
Boston Day and Evening Academy Charter (District),04240000,       4,,,
Boston Green Academy Horace Mann Charter School (District),04110000,      48,411,,411
Boston Preparatory Charter Public (District),04160000,      91,428,,424
Bourne,00360000,     124,513,,486
Braintree,00400000,     361,573,,578
Bridgewater-Raynham,06250000,     181,560,,546
Bristol County Agricultural,09100000,      36,535,,526
Bristol-Plymouth Regional Vocational Technical,08100000,      86,531,,507
Brockton,00440000,     194,513,,488
Brooke Charter School (District),04280000,     125,485,,506
Brookline,00460000,     444,647,,661
Burlington,00480000,     167,585,,575
Cambridge,00490000,     374,607,,587
Canton,00500000,     267,557,,555
Cape Cod Regional Vocational Technical,08150000,      45,508,,474
Carver,00520000,      84,548,,529
Central Berkshire,06350000,      80,535,,535
Chelmsford,00560000,     275,588,,587
Chelsea,00570000,      64,487,,475
Chicopee,00610000,     126,538,,523
City on a Hill Charter Public School (District),04370000,       1,,,
Clinton,00640000,      65,535,,492
Codman Academy Charter Public (District),04380000,      55,415,,393
Cohasset,00650000,     118,616,,586
Collegiate Charter School of Lowell (District),35030000,       8,,,
Community Charter School of Cambridge (District),04360000,      49,526,,539
Concord-Carlisle,06400000,     319,644,,647
Danvers,00710000,     112,572,,546
Dartmouth,00720000,     169,564,,544
Dedham,00730000,     132,555,,572
Dennis-Yarmouth,06450000,      86,530,,519
Dighton-Rehoboth,06500000,     112,557,,532
Douglas,00770000,      61,554,,522
Dover-Sherborn,06550000,     161,644,,647
Dracut,00790000,     117,523,,523
Dudley-Charlton Reg,06580000,     136,574,,556
Duxbury,00820000,     243,597,,577
East Bridgewater,00830000,      67,550,,516
East Longmeadow,00870000,     111,576,,563
Easthampton,00860000,      32,576,,532
Easton,00880000,     221,580,,566
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,     107,423,,407
Essex North Shore Agricultural and Technical School District,08170000,     244,533,,510
Everett,00930000,     270,493,,477
Excel Academy Charter (District),04100000,     146,472,,464
Fairhaven,00940000,     117,546,,542
Fall River,00950000,     243,492,,477
Falmouth,00960000,     145,577,,558
Fitchburg,00970000,     270,459,,444
Four Rivers Charter Public (District),04130000,      14,631,,564
Foxborough,00990000,     176,564,,564
Foxborough Regional Charter (District),04460000,      85,541,,505
Framingham,01000000,     339,572,,573
Francis W. Parker Charter Essential (District),04780000,      52,606,,564
Franklin,01010000,     429,585,,575
Franklin County Regional Vocational Technical,08180000,      19,483,,494
Freetown-Lakeville,06650000,     163,573,,557
Frontier,06700000,      57,619,,595
Gardner,01030000,     104,463,,449
Gateway,06720000,      21,574,,521
Georgetown,01050000,      68,553,,543
Gill-Montague,06740000,      17,606,,582
Global Learning Charter Public (District),04960000,       9,,,
Gloucester,01070000,     103,551,,556
Grafton,01100000,     169,580,,579
Granby,01110000,      20,559,,542
Greater Commonwealth Virtual District,39010000,      16,542,,524
Greater Fall River Regional Vocational Technical,08210000,      59,549,,507
Greater Lawrence Regional Vocational Technical,08230000,      48,475,,460
Greater Lowell Regional Vocational Technical,08280000,     141,509,,496
Greater New Bedford Regional Vocational Technical,08250000,      80,515,,499
Greenfield,01140000,      18,572,,558
Groton-Dunstable,06730000,     175,600,,611
Hadley,01170000,      27,570,,554
Hamilton-Wenham,06750000,     131,612,,589
Hampden Charter School of Science East (District),04990000,      22,521,,498
Hampden Charter School of Science West (District),35160000,       1,,,
Hampden-Wilbraham,06800000,     183,562,,570
Hampshire,06830000,      34,640,,616
Hanover,01220000,     217,577,,551
Harvard,01250000,      82,639,,626
Hatfield,01270000,      12,599,,543
Haverhill,01280000,     151,553,,542
Hingham,01310000,     312,620,,607
Holbrook,01330000,      30,529,,511
Holliston,01360000,     186,612,,601
Holyoke,01370000,      74,491,,460
Hoosac Valley Regional,06030000,      22,524,,539
Hopedale,01380000,      59,593,,580
Hopkinton,01390000,     291,621,,635
Hudson,01410000,      84,553,,536
Hull,01420000,      43,585,,551
Innovation Academy Charter (District),04350000,      29,614,,612
Ipswich,01440000,     105,597,,579
KIPP Academy Lynn Charter (District),04290000,      10,500,,492
King Philip,06900000,     299,584,,570
Lawrence,01490000,     414,418,,415
Lee,01500000,      35,528,,531
Leicester,01510000,      47,569,,564
Lenox,01520000,      34,642,,639
Leominster,01530000,     137,557,,546
Lexington,01550000,     613,659,,679
Lincoln-Sudbury,06950000,     387,627,,640
Littleton,01580000,     115,607,,597
Longmeadow,01590000,     213,608,,603
Lowell,01600000,     267,532,,535
Ludlow,01610000,      98,560,,562
Lunenburg,01620000,      91,576,,591
Lynn,01630000,     232,499,,478
Lynnfield,01640000,     160,574,,567
Ma Academy for Math and Science,04680000,      70,719,,758
Malden,01650000,     401,495,,511
Manchester Essex Regional,06980000,     105,622,,594
Mansfield,01670000,     270,582,,574
Map Academy Charter School (District),35170000,       2,,,
Marblehead,01680000,     213,592,,570
Marlborough,01700000,     153,513,,496
Marshfield,01710000,     257,574,,563
Martha's Vineyard,07000000,     129,570,,550
Martha's Vineyard Charter Public School (District),04660000,       4,,,
Masconomet,07050000,     278,585,,574
Mashpee,01720000,      67,559,,536
Match Charter Public School (District),04690000,      64,438,,448
Maynard,01740000,      36,601,,573
Medfield,01750000,     205,602,,603
Medford,01760000,     163,578,,557
Medway,01770000,     151,576,,564
Melrose,01780000,     187,597,,562
Mendon-Upton,07100000,     137,593,,548
Methuen,01810000,     155,547,,538
Middleborough,01820000,     140,553,,541
Milford,01850000,     143,558,,528
Millbury,01860000,      52,537,,525
Millis,01870000,      71,559,,544
Milton,01890000,     340,587,,571
Minuteman Regional Vocational Technical,08300000,      98,576,,529
Mohawk Trail,07170000,      11,588,,550
Monomoy Regional School District,07120000,      84,591,,566
Monson,01910000,       4,,,
Montachusett Regional Vocational Technical,08320000,      92,564,,542
Mount Greylock,07150000,     105,621,,587
Mystic Valley Regional Charter (District),04700000,     105,590,,607
Nantucket,01970000,      77,542,,515
Narragansett,07200000,      17,555,,518
Nashoba,07250000,     205,594,,591
Nashoba Valley Regional Vocational Technical,08520000,      33,539,,506
Natick,01980000,     351,609,,596
Nauset,06600000,     178,553,,525
Needham,01990000,     379,626,,632
Neighborhood House Charter (District),04440000,     113,440,,435
New Bedford,02010000,     151,502,,469
New Heights Charter School of Brockton (District),35130000,       9,,,
Newburyport,02040000,     188,596,,592
Newton,02070000,     860,630,,637
Norfolk County Agricultural,09150000,      60,555,,510
North Adams,02090000,      51,467,,439
North Andover,02110000,     270,585,,577
North Attleborough,02120000,     243,574,,567
North Brookfield,02150000,       6,,,
North Middlesex,07350000,     117,570,,536
