"","City","Year","Median Price","Days on Market","One-Year % Change in Price","Five-Year % Change in Price","Ten-Year % Change in Price"
"1","Abington",2011,270000,NA,NA,NA,NA
"2","Acton",2011,555000,NA,NA,NA,NA
"3","Amesbury",2011,293500,NA,NA,NA,NA
"4","Andover",2011,515000,NA,NA,NA,NA
"5","Arlington",2011,517500,NA,NA,NA,NA
"6","Ashby",2011,169540,NA,NA,NA,NA
"7","Ashland",2011,368000,NA,NA,NA,NA
"8","Attleboro",2011,230000,NA,NA,NA,NA
"9","Avon",2011,226750,NA,NA,NA,NA
"10","Ayer",2011,306000,NA,NA,NA,NA
"11","Bedford",2011,510000,NA,NA,NA,NA
"12","Bellingham",2011,235000,NA,NA,NA,NA
"13","Belmont",2011,697500,NA,NA,NA,NA
"14","Beverly",2011,325500,NA,NA,NA,NA
"15","Billerica",2011,300000,NA,NA,NA,NA
"16","Boston",2011,359900,NA,NA,NA,NA
"17","Boxborough",2011,562500,NA,NA,NA,NA
"18","Boxford",2011,525000,NA,NA,NA,NA
"19","Braintree",2011,319750,NA,NA,NA,NA
"20","Bridgewater",2011,277500,NA,NA,NA,NA
"21","Brockton",2011,160000,NA,NA,NA,NA
"22","Brookline",2011,1205000,NA,NA,NA,NA
"23","Burlington",2011,362750,NA,NA,NA,NA
"24","Cambridge",2011,782000,NA,NA,NA,NA
"25","Canton",2011,427500,NA,NA,NA,NA
"26","Carlisle",2011,614750,NA,NA,NA,NA
"27","Carver",2011,225000,NA,NA,NA,NA
"28","Chelmsford",2011,315000,NA,NA,NA,NA
"29","Chelsea",2011,215450,NA,NA,NA,NA
"30","Cohasset",2011,698500,NA,NA,NA,NA
"31","Concord",2011,730800,NA,NA,NA,NA
"32","Danvers",2011,329950,NA,NA,NA,NA
"33","Dedham",2011,327000,NA,NA,NA,NA
"34","Dover",2011,945000,NA,NA,NA,NA
"35","Dracut",2011,233000,NA,NA,NA,NA
"36","Dunstable",2011,421250,NA,NA,NA,NA
"37","Duxbury",2011,534500,NA,NA,NA,NA
"38","East Bridgewater",2011,239900,NA,NA,NA,NA
"39","Easton",2011,374500,NA,NA,NA,NA
"40","Essex",2011,507000,NA,NA,NA,NA
"41","Everett",2011,222000,NA,NA,NA,NA
"42","Foxborough",2011,356000,NA,NA,NA,NA
"43","Framingham",2011,295250,NA,NA,NA,NA
"44","Franklin",2011,365000,NA,NA,NA,NA
"45","Georgetown",2011,347500,NA,NA,NA,NA
"46","Gloucester",2011,340000,NA,NA,NA,NA
"47","Groton",2011,398000,NA,NA,NA,NA
"48","Groveland",2011,287000,NA,NA,NA,NA
"49","Halifax",2011,243000,NA,NA,NA,NA
"50","Hamilton",2011,384500,NA,NA,NA,NA
"51","Hanover",2011,412000,NA,NA,NA,NA
"52","Hanson",2011,247500,NA,NA,NA,NA
"53","Harvard",2011,515000,NA,NA,NA,NA
"54","Haverhill",2011,235000,NA,NA,NA,NA
"55","Hingham",2011,631000,NA,NA,NA,NA
"56","Holbrook",2011,225000,NA,NA,NA,NA
"57","Holliston",2011,390000,NA,NA,NA,NA
"58","Hopkinton",2011,524800,NA,NA,NA,NA
"59","Hudson",2011,264500,NA,NA,NA,NA
"60","Hull",2011,310000,NA,NA,NA,NA
"61","Ipswich",2011,370000,NA,NA,NA,NA
"62","Kingston",2011,310000,NA,NA,NA,NA
"63","Lakeville",2011,310000,NA,NA,NA,NA
"64","Lawrence",2011,150000,NA,NA,NA,NA
"65","Lexington",2011,746250,NA,NA,NA,NA
"66","Lincoln",2011,937500,NA,NA,NA,NA
"67","Littleton",2011,357000,NA,NA,NA,NA
"68","Lowell",2011,187000,NA,NA,NA,NA
"69","Lynn",2011,185000,NA,NA,NA,NA
"70","Lynnfield",2011,466750,NA,NA,NA,NA
"71","Malden",2011,275000,NA,NA,NA,NA
