2023-24 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),04450000,     125.9,  94.4,  11.3 to 1,  76.4,  90.1,
Abington,00010000,     158.7,  99.3,  13.4 to 1,  79.6,  91.2,
Academy Of the Pacific Rim Charter Public (District),04120000,      54.6,  66.0,   8.1 to 1,  34.8,  90.8,
Acton-Boxborough,06000000,     396.8, 100.0,  12.9 to 1,  89.2,  97.7,
Acushnet,00030000,      74.8, 100.0,  12.5 to 1,  79.9,  92.0,
Advanced Math and Science Academy Charter (District),04300000,      85.1,  93.0,  11.3 to 1,  79.5,  79.6,
Agawam,00050000,     277.8, 100.0,  12.6 to 1,  88.0,  96.2,
Alma del Mar Charter School (District),04090000,      85.4,  59.0,  12.2 to 1,  33.8,  94.1,
Amesbury,00070000,     169.4, 100.0,  10.7 to 1,  86.0,  98.2,
Amherst,00080000,     111.2,  96.4,   8.8 to 1,  86.5,  97.3,
Amherst-Pelham,06050000,     109.1,  93.4,  11.1 to 1,  86.7,  95.3,
Andover,00090000,     468.2,  99.6,  11.6 to 1,  91.0,  97.3,
Argosy Collegiate Charter School (District),35090000,      47.0,  64.2,  12.2 to 1,  43.2,  78.7,
Arlington,00100000,     491.4,  99.6,  12.2 to 1,  81.9,  93.7,
Ashburnham-Westminster,06100000,     166.2,  98.1,  13.6 to 1,  86.1,  96.1,
Ashland,00140000,     221.2, 100.0,  13.1 to 1,  85.3,  96.6,
Assabet Valley Regional Vocational Technical,08010000,     113.8,  96.5,   9.9 to 1,  84.2,  93.8,
Athol-Royalston,06150000,     125.1,  96.9,  12.8 to 1,  71.6,  90.5,
Atlantis Charter (District),04910000,     100.8,  83.1,  12.5 to 1,  58.0,  80.8,
Attleboro,00160000,     405.8,  99.8,  14.9 to 1,  83.2,  95.8,
Auburn,00170000,     186.3, 100.0,  13.4 to 1,  89.8,  94.6,
Avon,00180000,      75.7, 100.0,   9.7 to 1,  80.1,  94.9,
