Town,Town Code,Local Public Schools,Academic Regional Schools,Vocational Technical Regional Schools,Collaboratives,Charter Schools,Out-of-District Public Schools,Home Schooled,In State Private and Parochial Schools,Out-of-state Private and Parochial Schools,Total,Total Public,% Public,End of School Year
Abington,10000,2053,0,102,30,49,47,29,123,0,2433,2281,93.8,2023
Acton,20000,0,4112,86,17,33,40,22,147,0,4457,4288,96.2,2023
Acushnet,30000,911,0,167,7,2,289,20,72,0,1468,1376,93.7,2023
Adams (non-op),40000,0,704,132,0,46,73,3,37,0,995,955,96.0,2023
Agawam,50000,3195,0,0,9,67,74,97,131,8,3581,3345,93.4,2023
Alford (non-op),60000,0,12,0,0,0,8,10,6,0,36,20,55.6,2023
Amesbury,70000,1684,0,127,14,98,51,42,15,8,2039,1974,96.8,2023
Amherst,80000,903,904,0,0,150,82,35,196,0,2270,2039,89.8,2023
Andover,90000,5423,0,59,7,14,14,36,966,0,6519,5517,84.60000000000001,2023
Aquinnah (non-op),1040000,0,51,0,0,7,0,1,1,1,61,58,95.10000000000001,2023
Arlington,100000,5907,0,224,21,25,9,36,663,0,6885,6186,89.9,2023
Ashburnham (non-op),110000,0,967,67,4,6,34,27,13,0,1118,1078,96.4,2023
Ashby (non-op),120000,0,374,37,4,3,11,44,25,3,501,429,85.60000000000001,2023
Ashfield (non-op),130000,0,98,13,0,7,21,17,6,0,162,139,85.8,2023
Ashland,140000,2792,0,59,12,2,25,35,132,2,3059,2890,94.5,2023
Athol (non-op),150000,0,1398,108,9,3,216,90,32,0,1856,1734,93.4,2023
Attleboro,160000,5787,0,16,20,266,109,133,377,31,6739,6198,92.0,2023
Auburn,170000,2431,0,110,6,4,37,20,83,2,2693,2588,96.10000000000001,2023
Avon,180000,535,0,50,1,13,9,4,51,0,663,608,91.7,2023
Ayer,190000,0,844,70,15,25,82,20,40,1,1097,1036,94.4,2023
Barnstable,200000,4665,0,183,27,331,93,66,590,0,5955,5299,89.0,2023
Barre (non-op),210000,0,669,38,4,5,23,40,13,0,792,739,93.3,2023
Becket (non-op),220000,0,123,14,0,2,64,11,14,0,228,203,89.0,2023
Bedford,230000,2506,0,37,10,1,4,24,63,1,2646,2558,96.7,2023
Belchertown,240000,1946,0,115,0,41,123,48,32,0,2305,2225,96.5,2023
Bellingham,250000,1912,0,109,23,172,101,54,54,48,2473,2317,93.7,2023
Belmont,260000,4336,0,26,52,6,18,18,545,3,5004,4438,88.7,2023
Berkley,270000,797,234,85,4,0,36,23,23,1,1203,1156,96.10000000000001,2023
Berlin,280000,0,349,45,3,14,19,5,24,0,459,430,93.7,2023
Bernardston (non-op),290000,0,6,24,0,9,6,3,13,8,69,45,65.2,2023
Beverly,300000,4262,0,170,18,4,52,84,553,32,5175,4506,87.10000000000001,2023
Billerica,310000,4739,0,463,49,64,37,81,3,0,5436,5352,98.5,2023
Blackstone (non-op),320000,0,8,81,0,46,87,19,1,0,242,222,91.7,2023
Blandford (non-op),330000,0,69,13,0,0,11,6,12,0,111,93,83.8,2023
Bolton (non-op),340000,0,981,33,0,12,26,24,39,0,1115,1052,94.4,2023
Boston,350000,45538,0,0,32,10125,2789,273,6797,12,65566,58484,89.2,2023
Bourne,360000,1509,0,187,7,113,156,50,30,0,2052,1972,96.10000000000001,2023
Boxborough,370000,0,847,6,0,9,8,14,19,0,903,870,96.4,2023
Boxford,380000,688,573,22,10,1,24,28,201,3,1550,1318,85.0,2023
Boylston,390000,0,591,22,3,8,14,15,52,0,705,638,90.5,2023
Braintree,400000,5104,0,154,36,19,47,28,536,0,5924,5360,90.5,2023
Brewster,410000,395,469,57,3,62,47,25,29,0,1087,1033,95.0,2023
Bridgewater (non-op),420000,0,3274,148,3,12,77,70,68,2,3654,3514,96.2,2023
Brimfield,430000,257,164,63,0,5,16,29,8,0,542,505,93.2,2023
Brockton,440000,13650,0,945,22,1521,373,137,545,0,17193,16511,96.0,2023
Brookfield,450000,201,143,64,2,8,9,16,5,0,448,427,95.3,2023
Brookline,460000,6309,0,0,4,1,9,42,1449,28,7842,6323,80.60000000000001,2023
Buckland (non-op),470000,0,160,18,0,5,14,13,14,0,224,197,88.0,2023
Burlington,480000,3274,0,133,19,3,29,32,237,2,3729,3458,92.7,2023
Cambridge,490000,6160,0,1,15,484,19,65,1483,1,8228,6679,81.2,2023
Canton,500000,3122,0,89,28,8,0,20,284,2,3553,3247,91.4,2023
Carlisle,510000,587,295,2,1,0,0,22,92,1,1000,885,88.5,2023
Carver,520000,1473,0,95,9,63,11,41,42,12,1746,1651,94.60000000000001,2023
Charlemont (non-op),530000,0,72,8,0,4,39,5,6,0,134,123,91.8,2023
Charlton (non-op),540000,0,1690,211,6,14,33,49,72,10,2085,1954,93.7,2023
Chatham,550000,0,353,13,3,10,13,4,9,0,405,392,96.8,2023
Chelmsford,560000,4920,0,212,24,96,50,44,119,15,5480,5302,96.8,2023
Chelsea,570000,5914,0,240,118,915,44,9,38,0,7278,7231,99.4,2023
Cheshire (non-op),580000,0,201,48,0,24,56,8,33,0,370,329,88.9,2023
Chester (non-op),590000,0,111,6,0,1,6,5,0,0,129,124,96.10000000000001,2023
Chesterfield (non-op),600000,0,75,0,0,1,24,8,1,0,109,100,91.7,2023
Chicopee,610000,6492,0,0,0,364,319,110,403,1,7689,7175,93.3,2023
