Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District),04450000,Charter District,Charter School Leader,Heidi Paluk,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington,00010000,Public School District,Superintendent,Peter Schafer,1071 Washington St.,,Abington,MA,02351,781-982-2150,781-982-2157,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,Charter School Leader,Rodolfo Morales,1 Westinghouse Plaza Bldg B,,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton (non-op),00020000,Public School District,Superintendent,Peter Light,16 Charter Road,,Acton,MA,01720,978-264-4700,978-264-3340,NA
Acton-Boxborough,06000000,Public School District,Superintendent,Peter Light,15 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3340,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Acushnet,00030000,Public School District,Superintendent,Paula Bailey,708 Middle Road,Suite 1,Acushnet,MA,02743,508-998-0260,508-998-0262,"PK,K,01,02,03,04,05,06,07,08"
Adams (non-op),00040000,Public School District,Superintendent,Kristen Gordon,191 Church Street,,Cheshire,MA,01225,413-743-2939,413-743-4135,NA
Advanced Math and Science Academy Charter (District),04300000,Charter District,Charter School Leader,Lisa Mobley,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Agawam,00050000,Public School District,Superintendent,sheila Hoffman,1305 Springfield St,Suite 1,Feeding Hills,MA,01030,413-821-0548,413-789-1835,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Alford (non-op),00060000,Public School District,Superintendent,Beth Regulbuto,PO Box 339,,Sheffield,MA,01257,413-229-8778,413-229-2913,NA
Alma del Mar Charter School (District),04090000,Charter District,Charter School Leader,Taylor DeLoach,515 Belleville Ave,,New Bedford,MA,02746,508-542-7153,774-762-4680,"K,01,02,03,04,05,06,07,08"
Amesbury,00070000,Public School District,Superintendent,Elizabeth McAndrews,5 Highland Street,,Amesbury,MA,01913,978-388-0507,978-388-8315,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Amherst,00080000,Public School District,Superintendent,Douglas Slaughter,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108,"PK,K,01,02,03,04,05,06"
Amherst-Pelham,06050000,Public School District,Superintendent,Douglas Slaughter,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108,"07,08,09,10,11,12"
Andover,00090000,Public School District,Superintendent,Magda Parvey,30 Whittier Court,,Andover,MA,01810,978-623-8501,978-623-8505,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Aquinnah (non-op),01040000,Public School District,Superintendent,Richard Smith,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,NA
Argosy Collegiate Charter School (District),35090000,Charter District,Charter School Leader,Kristen Pavao,263 Hamlet Street,,Fall River,MA,02724,508-567-4725,774-365-4383,"06,07,08,09,10,11,12"
Arlington,00100000,Public School District,Superintendent,Elizabeth Homan,869 Massachusetts Avenue,,Arlington,MA,02476,781-316-3501,781-316-3509,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashburnham (non-op),00110000,Public School District,Superintendent,Todd Stewart,11 Oakmont Drive,,Ashburnham,MA,01430,978-827-1434,978-827-5969,NA
Ashburnham-Westminster,06100000,Public School District,Superintendent,Todd Stewart,11 Oakmont Drive,,Ashburnham,MA,01430,978-827-1434,978-827-5969,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashby (non-op),00120000,Public School District,Superintendent,Brad Morgan,23 Main Street,,Townsend,MA,01469,978-597-8713,978-597-6534,NA
Ashfield (non-op),00130000,Public School District,Superintendent,Sheryl Stanton,24 Ashfield Road,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Ashland,00140000,Public School District,Superintendent,James Adams,87 West Union Street,,Ashland,MA,01721,508-881-0150,508-881-0161,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Assabet Valley Regional Vocational Technical,08010000,Public School District,Superintendent,Ernest Houle,215 Fitchburg Street,,Marlborough,MA,01752,508-485-9430,508-460-3472,"09,10,11,12"
Athol (non-op),00150000,Public School District,Superintendent,Matthew Ehrenworth,P.O.Box 968,,Athol,MA,01331,978-249-2400,978-249-2402,NA
Athol-Royalston,06150000,Public School District,Superintendent,Matthew Ehrenworth,1062 Pleasant Street,,Athol,MA,01331,978-249-2400,978-249-2402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Atlantis Charter (District),04910000,Charter District,Charter School Leader,Robert Beatty,991 Jefferson St,,Fall River,MA,02721,508-646-6410,508-672-3489,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Attleboro,00160000,Public School District,Superintendent,David Sawyer,1 Blue Pride Way,,Attleboro,MA,02703,508-222-0012,508-223-1577,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Auburn,00170000,Public School District,Superintendent,Elizabeth Chamberland,5 West Street,,Auburn,MA,01501,508-832-7755,508-832-7757,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Avon,00180000,Public School District,Superintendent,Christine Godino,1 Patrick Clark Drive,,Avon,MA,02322,508-588-0230,508-559-1081,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ayer (non-op),00190000,Public School District,Superintendent,Adam Renda,141 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-7444,NA
Ayer Shirley School District,06160000,Public School District,Superintendent,Adam Renda,115 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-1863,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barnstable,00200000,Public School District,Superintendent,Sara Ahern,P O Box 955,,Hyannis,MA,02601,508-862-4953,508-790-6454,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barre (non-op),00210000,Public School District,Superintendent,Sheila Muir,872 South Street,,Barre,MA,01005,978-355-4668,978-355-6756,NA
Baystate Academy Charter Public School (District),35020000,Charter District,Charter School Leader,Timothy Sneed,2001 Roosevelt Avenue,,Springfield,MA,01104,413-366-5103,413-366-5101,"06,07,08,09,10,11,12"
Becket (non-op),00220000,Public School District,Superintendent,Leslie Blake-Davis,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Bedford,00230000,Public School District,Superintendent,Cliff Chuang,97 McMahon Road,,Bedford,MA,01730,781-275-7588,781-275-0885,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belchertown,00240000,Public School District,Superintendent,Brian Cameron,PO Box 841,,Belchertown,MA,01007,413-323-0423,413-323-0448,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Bellingham,00250000,Public School District,Superintendent,Peter Marano,4 Mechanic Street,,Bellingham,MA,02019,508-883-1706,508-966-2402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belmont,00260000,Public School District,Superintendent,Jill Geiser,644 Pleasant Street,,Belmont,MA,02478,617-993-5401,617-993-5409,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Benjamin Banneker Charter Public (District),04200000,Charter District,Charter School Leader,Sherley Bretous,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223,"PK,K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District),04470000,Charter District,Charter School Leader,Heather Zolnowski,500 Financial Park,,Franklin,MA,02038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Berkley,00270000,Public School District,Superintendent,Melissa Eakins-Ryan,21 North Main Street,,Berkley,MA,02779,508-822-5220,508-823-1772,"PK,K,01,02,03,04,05,06,07,08"
Berkshire Arts and Technology Charter Public (District),04140000,Charter District,Charter School Leader,Jonathan Igoe,1 Commercial Pl,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
Berkshire Hills,06180000,Public School District,Superintendent,Peter Dillon,50 Main Street,PO Box 617,Stockbridge,MA,01262,413-298-4017,413-298-4672,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Berlin (non-op),00280000,Public School District,Superintendent,Carol Lynn Costello,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,NA
Berlin-Boylston,06200000,Public School District,Superintendent,Carol Lynn Costello,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Bernardston (non-op),00290000,Public School District,Superintendent,Patricia Kinsella,97 F Sumner Turner Rd,,Northfield,MA,01360,413-498-2911,413-498-0045,NA
Beverly,00300000,Public School District,Superintendent,Suzanne Charochak,70 Balch St.,,Beverly,MA,01915,978-921-6100,978-922-6597,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Billerica,00310000,Public School District,Superintendent,Kerry Clery,365 Boston Rd,,Billerica,MA,01821,978-528-7900,978-436-9595,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Blackstone (non-op),00320000,Public School District,Superintendent,Jason Defalco,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892,NA
Blackstone Valley Regional Vocational Technical,08050000,Public School District,Superintendent,Michael Fitzpatrick,65 Pleasant Street,,Upton,MA,01568,508-529-7758,508-529-3079,"09,10,11,12"
Blackstone-Millville,06220000,Public School District,Superintendent,Jason Defalco,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Blandford (non-op),00330000,Public School District,Superintendent,Kristen Smidy,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739,NA
Blue Hills Regional Vocational Technical,08060000,Public School District,Superintendent,Jill Rossetti,800 Randolph Street,,Canton,MA,02021,781-828-5800,781-828-3872,"09,10,11,12"
Bolton (non-op),00340000,Public School District,Superintendent,Kirk Downing,50 Mechanic Street,,Bolton,MA,01740,978-779-0539,978-779-6812,NA
Boston,00350000,Public School District,Superintendent,Mary Skipper,2300 Washington Street,,Roxbury,MA,02119,617-635-9050,617-635-9059,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Boston Collegiate Charter (District),04490000,Charter District,Charter School Leader,Jenna Ogundipe,215 Sydney Street,,Dorchester,MA,02125,617-282-6710,617-265-1176,"05,06,07,08,09,10,11,12"
Boston Day and Evening Academy Charter (District),04240000,Charter District,Charter School Leader,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,02119,617-635-6789,617-635-6380,"09,10,11,12"
Boston Green Academy Horace Mann Charter School (District),04110000,Charter District,Charter School Leader,Matthew Holzer,20 Warren St.,,Brighton,MA,02135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12"
Boston Preparatory Charter Public (District),04160000,Charter District,Charter School Leader,Meekerley Sanon,885 River Street,,Hyde Park,MA,02136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12"
Boston Renaissance Charter Public (District),04810000,Charter District,Charter School Leader,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,02136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06"
Bourne,00360000,Public School District,Superintendent,Kerri Quinlan-Zhou,36 Sandwich Rd,,Bourne,MA,02532,508-759-0660,508-759-1107,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Boxborough (non-op),00370000,Public School District,Superintendent,Peter Light,493 Massachusetts Avenue,,Boxborough,MA,01719,978-263-4569,978-263-0477,NA
Boxford,00380000,Public School District,Superintendent,Scott Morrison,28 Middleton Road,,Boxford,MA,01921,978-887-0771,978-887-8042,"PK,K,01,02,03,04,05,06"
Boylston (non-op),00390000,Public School District,Superintendent,Carol Lynn Costello,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023,NA
Braintree,00400000,Public School District,Superintendent,James Lee,348 Pond Street,,Braintree,MA,02184,781-380-0130,781-380-0146,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brewster,00410000,Public School District,Superintendent,Brooke Clenchy,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Bridge Boston Charter School (District),04170000,Charter District,Charter School Leader,Orin Gutlerner,435 Warren St.,,Roxbury,MA,02119,857-229-1601,--,"PK,K,01,02,03,04,05,06,07,08"
Bridgewater (non-op),00420000,Public School District,Superintendent,Ryan Powers,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012,NA
Bridgewater-Raynham,06250000,Public School District,Superintendent,Ryan Powers,166 Mt. Prospect Street,,Bridgewater,MA,02324,508-279-2140,508-697-7012,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brimfield,00430000,Public School District,Superintendent,Deborah Boyd,320A Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Bristol County Agricultural,09100000,Public School District,Superintendent,Derek Costa,135 Center Street,,Dighton,MA,02715,508-669-6744,508-669-6747,"09,10,11,12"
Bristol-Plymouth Regional Vocational Technical,08100000,Public School District,Superintendent,Alexandre Magalhaes,207 Hart Street,,Taunton,MA,02780,508-823-5151,508-880-7287,"09,10,11,12"
Brockton,00440000,Public School District,Superintendent,James Cobbs,43 Crescent Street,,Brockton,MA,02301,508-580-7000,508-580-7513,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Brooke Charter School (District),04280000,Charter District,Charter School Leader,Jon Clark,190 Cummins Highway,,Roslindale,MA,02131,617-325-7977,617-325-2260,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Brookfield,00450000,Public School District,Superintendent,Deborah Boyd,320 Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Brookline,00460000,Public School District,Superintendent,Linus Guillory,333 Washington Street,,Brookline,MA,02445,617-730-2403,617-730-2601,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Buckland (non-op),00470000,Public School District,Superintendent,Sheryl Stanton,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Burlington,00480000,Public School District,Superintendent,Eric Conti,123 Cambridge Street,,Burlington,MA,01803,781-270-1801,781-270-1773,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cambridge,00490000,Public School District,Superintendent,Victoria Greer,135 Berkshire Street,,Cambridge,MA,02141,617-349-6494,617-349-6496,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Canton,00500000,Public School District,Superintendent,Derek Folan,960 Washington Street,,Canton,MA,02021,781-821-5060,781-575-6500,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cape Cod Lighthouse Charter (District),04320000,Charter District,Charter School Leader,Catherine O'leary,195 Route 137,,East Harwich,MA,02645,774-408-7994,774-237-9041,"06,07,08"
Cape Cod Regional Vocational Technical,08150000,Public School District,Superintendent,Robert Sanborn,351 Pleasant Lake Avenue,,Harwich,MA,02645,508-432-4500,508-432-7916,"09,10,11,12"
Carlisle,00510000,Public School District,Superintendent,James O'Shea,83 School Street,,Carlisle,MA,01741,978-369-6550,978-371-2400,"PK,K,01,02,03,04,05,06,07,08"
