District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,End of School Year
Abby Kelley Foster Charter Public (District),4450000,        87,95.4,1.1,0.0,0.0,3.4,0.0,2020
Abington,10000,       118,94.1,3.4,0.0,0.0,2.5,0.0,2020
Academy Of the Pacific Rim Charter Public (District),4120000,        45,93.3,4.4,0.0,2.2,0.0,0.0,2020
Acton-Boxborough,6000000,       457,97.2,2.0,0.2,0.0,0.7,0.0,2020
Advanced Math and Science Academy Charter (District),4300000,       134,100.0,0.0,0.0,0.0,0.0,0.0,2020
Agawam,50000,       276,93.5,0.7,1.4,0.0,4.3,0.0,2020
Amesbury,70000,       165,87.9,9.1,0.0,0.0,3.0,0.0,2020
Amherst-Pelham,6050000,       238,90.3,4.2,0.0,0.0,5.5,0.0,2020
Andover,90000,       441,95.2,3.9,0.0,0.0,0.9,0.0,2020
Arlington,100000,       351,94.9,2.8,0.6,0.0,1.7,0.0,2020
Ashburnham-Westminster,6100000,       172,94.2,5.8,0.0,0.0,0.0,0.0,2020
Ashland,140000,       228,94.3,3.1,0.0,0.4,2.2,0.0,2020
Assabet Valley Regional Vocational Technical,8010000,       266,99.2,0.0,0.0,0.0,0.8,0.0,2020
Athol-Royalston,6150000,        93,81.7,6.5,0.0,0.0,11.8,0.0,2020
Atlantis Charter (District),4910000,        63,90.5,3.2,0.0,0.0,1.6,4.8,2020
Attleboro,160000,       447,90.2,6.9,0.2,0.4,2.2,0.0,2020
Auburn,170000,       182,95.1,2.7,0.0,0.5,1.6,0.0,2020
Avon,180000,        52,90.4,5.8,0.0,1.9,1.9,0.0,2020
Ayer Shirley School District,6160000,       114,89.5,3.5,0.0,0.0,7.0,0.0,2020
Barnstable,200000,       374,85.8,4.5,3.7,1.1,4.8,0.0,2020
Baystate Academy Charter Public School (District),35020000,        54,89.2,3.7,1.9,0.0,5.3,0.0,2020
Bedford,230000,       204,95.1,3.9,0.5,0.0,0.5,0.0,2020
Belchertown,240000,       176,93.2,3.4,0.6,0.6,2.3,0.0,2020
Bellingham,250000,       156,94.2,1.9,1.3,1.3,1.3,0.0,2020
Belmont,260000,       343,96.2,2.9,0.0,0.0,0.9,0.0,2020
Berkshire Arts and Technology Charter Public (District),4140000,        30,90.0,3.3,0.0,0.0,6.7,0.0,2020
Berkshire Hills,6180000,       115,93.0,4.3,0.0,0.9,1.7,0.0,2020
Berlin-Boylston,6200000,        79,97.5,2.5,0.0,0.0,0.0,0.0,2020
Beverly,300000,       310,91.0,3.9,0.0,0.3,4.8,0.0,2020
Billerica,310000,       350,94.6,3.4,0.3,0.6,1.1,0.0,2020
Blackstone Valley Regional Vocational Technical,8050000,       298,99.0,0.3,0.3,0.0,0.3,0.0,2020
Blackstone-Millville,6220000,       113,90.3,5.3,0.0,0.9,3.5,0.0,2020
Blue Hills Regional Vocational Technical,8060000,       191,97.9,1.0,0.0,0.0,1.0,0.0,2020
Boston,350000,"     3,923",75.4,13.8,0.1,0.4,10.4,0.0,2020
Boston Collegiate Charter (District),4490000,        63,88.9,11.1,0.0,0.0,0.0,0.0,2020
Boston Day and Evening Academy Charter (District),4240000,       151,6.0,63.6,0.0,0.7,29.8,0.0,2020
Boston Green Academy Horace Mann Charter School (District),4110000,        77,80.5,9.1,1.3,0.0,9.1,0.0,2020
Boston Preparatory Charter Public (District),4160000,        48,89.6,10.4,0.0,0.0,0.0,0.0,2020
Bourne,360000,       140,88.6,5.0,0.0,0.0,6.4,0.0,2020
