Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Massachusetts,"153,534",168,153,15,"2,235","2,178",57,"3,609",793,596,675,"1,545","66,314","16,531","1,677","3,586","7,575","3,693","49,783","12,250","6,740","4,290","1,220","62,787","5,878","5,191",252,435,259,22,12,2019
Suffolk County,"31,495",49,46,3,309,278,31,"1,242",230,179,373,460,"13,884","3,531",349,902,"1,524",756,"10,353","1,945","1,151",538,256,"12,876","1,180","1,060",13,107,2,5,3,2019
Boston,"25,929",42,42,0,240,214,26,"1,041",203,156,364,318,"11,218","2,953",308,807,"1,384",454,"8,265","1,712","1,016",469,227,"10,681",986,897,11,78,1,5,3,2019
Hampden County,"19,351",31,30,1,235,232,3,512,152,82,48,230,"8,859","1,850",321,422,872,235,"7,009","1,727",992,544,191,"7,076",871,794,43,34,39,1,0,2019
Springfield,"9,484",20,20,,82,80,2,358,108,52,33,165,"4,984",938,218,246,397,77,"4,046",746,419,240,87,"2,777",494,456,20,18,22,1,,2019
Worcester County,"17,244",17,16,1,290,286,4,333,61,66,44,162,"7,681","1,996",262,438,959,337,"5,685","1,539",938,461,140,"6,645",706,627,35,44,26,6,1,2019
Essex County,"14,403",16,15,1,191,187,4,272,77,55,32,108,"6,483","1,627",206,309,792,320,"4,856","1,079",564,436,79,"5,696",642,556,28,58,22,1,1,2019
Bristol County,"14,382",15,13,2,237,235,2,363,68,75,39,181,"7,105","1,639",133,351,726,429,"5,466","1,323",759,454,110,"4,811",488,409,33,46,38,2,0,2019
Middlesex County,"24,886",16,13,3,317,312,5,418,86,70,77,185,"8,855","2,228",189,533,996,510,"6,627","1,897",939,735,223,"12,367",958,817,48,93,51,5,2,2019
Worcester,"7,217",13,13,,45,45,,229,40,48,30,111,"3,158",882,189,223,405,65,"2,276",751,474,194,83,"2,641",370,342,5,23,4,6,,2019
