Location,Estimate Population,Year
Massachusetts,"6,892,503",2019
Suffolk County,"811,783",2019
Boston,"698,941",2019
Hampden County,"467,568",2019
Springfield,"154,306",2019
Worcester County,"828,322",2019
Essex County,"790,363",2019
Bristol County,"561,566",2019
Middlesex County,"1,616,126",2019
Worcester,"184,945",2019
Plymouth County,"516,981",2019
Lynn,"94,449",2019
Fall River,"89,066",2019
Norfolk County,"704,097",2019
Brockton,"95,287",2019
Holyoke,"40,178",2019
Lowell,"111,423",2019
Abington,"16,448",2019
New Bedford,"94,613",2019
North Attleborough,"29,202",2019
Lawrence,"80,243",2019
Westfield,"41,507",2019
Everett,"47,195",2019
Barnstable County,"211,470",2019
Barnstable,"44,032",2019
Berkshire County,"124,775",2019
Pittsfield,"42,268",2019
Taunton,"57,028",2019
Chicopee,"55,293",2019
Revere,"53,654",2019
MBTA - Suffolk County,,2019
Groveland,"6,846",2019
Haverhill,"63,935",2019
Methuen,"50,727",2019
MBTA - Essex County,,2019
East Longmeadow,"16,269",2019
Hampshire County,"160,372",2019
Northampton,"28,735",2019
Cambridge,"119,908",2019
Framingham,"73,127",2019
Groton,"11,388",2019
Lexington,"33,824",2019
Malden,"60,746",2019
Tewksbury,"31,424",2019
Brookline,"58,928",2019
Plainville,"9,281",2019
Quincy,"94,113",2019
Randolph,"34,385",2019
Stoughton,"28,961",2019
Wareham,"22,592",2019
Athol,"11,679",2019
Clinton,"13,964",2019
Fitchburg,"40,621",2019
Bourne,"19,734",2019
Brewster,"9,725",2019
Chatham,"6,117",2019
Dennis,"13,738",2019
Eastham,"4,823",2019
Falmouth,"30,717",2019
Harwich,"12,028",2019
Mashpee,"14,094",2019
Orleans,"5,742",2019
Provincetown,"2,939",2019
Sandwich,"20,016",2019
Truro,"1,984",2019
Wellfleet,"2,705",2019
Yarmouth,"23,076",2019
Cape Cod Community College,,2019
MBTA - Barnstable County,,2019
Barnstable State Police,,2019
Barnstable State Police Middleboro,,2019
Adams,"8,028",2019
Alford,,2019
Becket,"1,724",2019
Cheshire,"3,133",2019
Clarksburg,"1,643",2019
Dalton,"6,546",2019
Egremont,"1,206",2019
Florida,,2019
Great Barrington,"6,822",2019
Hancock,,2019
Hinsdale,"1,910",2019
Lanesboro,"2,950",2019
Lee,"5,686",2019
Lenox,"4,951",2019
Monterey,926,2019
Mount Washington,,2019
New Ashford,,2019
New Marlboro,,2019
North Adams,"12,800",2019
Otis,"1,540",2019
Peru,836,2019
Richmond,"1,415",2019
Sandisfield,,2019
Savoy,682,2019
Sheffield,"3,139",2019
Stockbridge,"1,898",2019
Tyringham,,2019
Washington,541,2019
West Stockbridge,,2019
Williamstown,"8,021",2019
Windsor,,2019
MA College of Liberal Arts,,2019
MBTA - Berkshire County,,2019
Berkshire State Police,"10,670",2019
Berkshire State Police Weston,,2019
Berkshire State Police Northampton,,2019
Acushnet,"10,533",2019
Attleboro,"44,959",2019
Berkley,"6,799",2019
Dartmouth,"34,035",2019
Dighton,"7,935",2019
Easton,"25,079",2019
Fairhaven,"15,996",2019
Freetown,"9,388",2019
Mansfield,"23,987",2019
Norton,"19,894",2019
Raynham,"14,322",2019
Rehoboth,"12,252",2019
Seekonk,"15,841",2019
Somerset,"18,036",2019
Swansea,"16,681",2019
Westport,"15,920",2019
U-Mass Dartmouth,,2019
Stonehill College,,2019
Bristol Comm College,,2019
Wheaton College,,2019
Uncategorized,,2019
MBTA - Bristol County,,2019
Bristol State Police,,2019
Bristol State Police Framingham,,2019
Bristol State Police Middleboro,,2019
Dukes County,"17,318",2019
Chilmark,920,2019
Edgartown,"4,362",2019
Aquinnah,328,2019
Gosnold,,2019
Oak Bluffs,"4,681",2019
Tisbury,"4,116",2019
West Tisbury,"2,911",2019
MBTA - Dukes County,,2019
Dukes State Police,,2019
Dukes State Police Middleboro,,2019
Amesbury,"17,595",2019
North Shore CC,,2019
Andover,"36,547",2019
Beverly,"42,317",2019
Boxford,"8,352",2019
Danvers,"27,664",2019
Essex,"3,795",2019
Georgetown,"8,777",2019
Gloucester,"30,362",2019
Hamilton,"8,075",2019
Ipswich,"14,095",2019
Lynnfield,"13,130",2019
Manchester-by-the-sea,"5,423",2019
Marblehead,"20,574",2019
Merrimac,"7,001",2019
Middleton,"10,113",2019
Nahant,"3,511",2019
Newbury,"7,147",2019
Newburyport,"18,158",2019
North Andover,"31,428",2019
Peabody,"53,104",2019
Rockport,"7,280",2019
Rowley,"6,372",2019
Salem,"43,443",2019
Salisbury,"9,575",2019
Saugus,"28,378",2019
Swampscott,"15,296",2019
Topsfield,"6,644",2019
Wenham,"5,295",2019
West Newbury,"4,712",2019
Salem State University,,2019
Merrimack College,,2019
North Shore CC,,2019
Endicott College,,2019
Northern Essex Community College,,2019
Gordon College,,2019
Salem State College,,2019
North Shore Community College,,2019
Essex State Police,,2019
Essex State Police Framingham,,2019
Franklin County,"70,369",2019
Ashfield,"1,734",2019
Bernardston,"2,113",2019
Buckland,"1,872",2019
Charlemont,"1,243",2019
Colrain,,2019
Conway,"1,891",2019
Deerfield,"5,032",2019
Erving,"1,771",2019
Gill,"1,490",2019
Greenfield,"17,464",2019
Hawley,,2019
Heath,702,2019
Leverett,"1,863",2019
Leyden,725,2019
Monroe,112,2019
Montague,"8,298",2019
New Salem,"1,023",2019
Northfield,"2,988",2019
Orange,"7,643",2019
Rowe,394,2019
Shelburne,"1,856",2019
Shutesbury,"1,774",2019
Sunderland,"3,656",2019
Warwick,780,2019
Wendell,,2019
Whately,"1,589",2019
Greenfield CC,,2019
MBTA - Franklin County,,2019
Franklin State Police,"6,835",2019
Franklin State Police Holden,,2019
Franklin State Police Northampton,,2019
Agawam,"28,736",2019
Blandford,"1,257",2019
Western New England Coll,,2019
Brimfield,"3,770",2019
Chester,"1,381",2019
Granville,"1,621",2019
Hampden,"5,199",2019
Holland,"2,484",2019
Longmeadow,"15,737",2019
Ludlow,"21,395",2019
Monson,"8,851",2019
Montgomery,,2019
Palmer,"12,258",2019
Russell,"1,794",2019
Southwick,"9,772",2019
Tolland,508,2019
Wales,"1,894",2019
West Springfield,"28,628",2019
Wilbraham,"14,730",2019
Westfield State College,,2019
Holyoke Community College,,2019
Springfield Technical Community College,,2019
Western New England University,,2019
MBTA - Hampden County,,2019
Springfield College,,2019
Hampden State Police,,2019
Hampden State Police Weston,,2019
Hampden State Police Northampton,,2019
Amherst,"39,603",2019
Belchertown,"15,195",2019
Chesterfield,"1,262",2019
Cummington,879,2019
Mt. Holyoke College,,2019
Easthampton,"15,979",2019
Goshen,"1,065",2019
Granby,"6,360",2019
Hadley,"5,358",2019
Hatfield,"3,286",2019
Huntington,"2,182",2019
Middlefield,,2019
Pelham,"1,322",2019
Plainfield,,2019
South Hadley,"17,816",2019
Southampton,"6,247",2019
Ware,"9,804",2019
Westhampton,"1,646",2019
Williamsburg,"2,489",2019
Worthington,"1,191",2019
U-Mass Amherst,,2019
Mt. Holyoke College,,2019
Hampshire College,,2019
Hampshire College,,2019
Smith College,,2019
Smith College,,2019
Amherst College,,2019
MBTA - Hampshire County,,2019
Hampshire State Police,"2,135",2019
Hampshire State Police Northampton,,2019
Acton,"23,780",2019
Regis College,,2019
Arlington,"45,614",2019
Ashby,"3,228",2019
Ashland,"17,742",2019
Ayer,"8,192",2019
Bedford,"14,193",2019
Belmont,"26,331",2019
Billerica,"43,882",2019
Boxborough,"6,540",2019
Burlington,"29,082",2019
Carlisle,"5,255",2019
Chelmsford,"35,218",2019
Concord,"19,253",2019
Dracut,"31,786",2019
Dunstable,"3,405",2019
Holliston,"14,996",2019
Hopkinton,"18,585",2019
Hudson,"19,910",2019
Lincoln,"6,798",2019
Littleton,"10,334",2019
Marlborough,"39,673",2019
Maynard,"10,654",2019
Medford,"57,484",2019
Melrose,"28,120",2019
Natick,"36,358",2019
Newton,"88,658",2019
North Reading,"15,687",2019
Pepperell,"12,146",2019
Reading,"25,305",2019
Sherborn,"4,334",2019
Shirley,"7,633",2019
Somerville,"81,668",2019
Stoneham,"22,732",2019
Stow,"7,234",2019
Sudbury,"19,727",2019
Townsend,"9,546",2019
Tyngsborough,"12,456",2019
Wakefield,"27,178",2019
Waltham,"62,737",2019
Watertown,"36,189",2019
Wayland,"13,891",2019
Westford,"24,403",2019
Weston,"12,138",2019
Wilmington,"23,915",2019
Winchester,"22,850",2019
Woburn,"40,251",2019
Brandeis University,,2019
Brandeis University,,2019
Bentley College,,2019
Framingham State University,,2019
U-Mass Lowell,,2019
Boston and Maine Railroad Police Dept,,2019
Harvard University,,2019
Tufts University Medford,,2019
Tufts University since 01/01/2015,,2019
Boston College,,2019
Lasell College,,2019
Regis College,,2019
Regis College,,2019
Mount IDA College,,2019
MBTA - Middlesex County,,2019
Boston College(Old ORI pre-2011),,2019
MIT,,2019
Framingham SC,,2019
Tufts University prior 01/01/2015,,2019
Middlesex State Police,,2019
Middlesex State Police Weston,,2019
Middlesex State Police Framingham,,2019
Middlesex State Police Holden,,2019
Nantucket County,"11,393",2019
Nantucket,"11,393",2019
MBTA - Nantucket County,,2019
Nantucket State Police,,2019
Mt. Ida College,,2019
Avon,"4,504",2019
Bellingham,"17,143",2019
Braintree,"37,145",2019
Canton,"23,706",2019
Cohasset,"8,609",2019
Dedham,"25,203",2019
Dover,"6,118",2019
Foxborough,"17,631",2019
Franklin,"33,149",2019
Holbrook,"10,990",2019
Medfield,"12,913",2019
Medway,"13,405",2019
Millis,"8,252",2019
Milton,"27,471",2019
Needham,"31,275",2019
Norfolk,"11,992",2019
Norwood,"29,185",2019
Sharon,"18,973",2019
Walpole,"25,150",2019
Wellesley,"29,651",2019
Westwood,"16,199",2019
Weymouth,"57,776",2019
Wrentham,"11,989",2019
Babson College,,2019
Dean College,,2019
Mass Bay Community College,,2019
Curry College,,2019
MBTA - Norfolk County,,2019
Wellesley College,,2019
Norfolk State Police,,2019
Norfolk State Police Framingham,,2019
Norfolk State Police Middleboro,,2019
Bridgewater,"27,270",2019
Carver,"11,721",2019
Duxbury,"15,934",2019
East Bridgewater,"14,472",2019
Halifax,"7,874",2019
Hanover,"14,485",2019
Hanson,"10,876",2019
Hingham,"23,960",2019
Hull,"10,402",2019
Kingston,"13,758",2019
Lakeville,"11,419",2019
Marion,"5,132",2019
Marshfield,"25,794",2019
Mattapoisett,"6,372",2019
Middleborough,"25,183",2019
Norwell,"11,105",2019
Pembroke,"18,378",2019
Plymouth,"60,870",2019
Plympton,"2,980",2019
Rochester,"5,634",2019
Rockland,"17,879",2019
Scituate,"18,774",2019
West Bridgewater,"7,248",2019
Whitman,"15,134",2019
Bridgewater State University,,2019
Massasoit Community College,,2019
MBTA - Plymouth County,,2019
Plymouth State Police,,2019
Plymouth State Police Middleboro,,2019
Boston College(Old ORI),,2019
"Capitol PD, Boston",,2019
Chelsea,"40,496",2019
Winthrop,"18,692",2019
Environmental Police,,2019
U-Mass Boston,,2019
MBTA,,2019
Boston University,,2019
Northeastern University,,2019
Mass College of Art,,2019
Tufts University Suffolk,,2019
Tufts University Suffolk prior to 01/01/2017,,2019
Bunker Hill Community College,,2019
Beth Israel Deaconess Med Ctr,,2019
Simmons University,,2019
Mass General Hospital,,2019
Fisher College,,2019
Fisher College,,2019
Wentworth Institute of Technology,,2019
Roxbury Community College,,2019
MCPHS University,,2019
Emerson College,,2019
Emerson College,,2019
Northeastern U,,2019
Wentworth Institute,,2019
Suffolk State Police,,2019
Suffolk State Police Weston,,2019
Suffolk State Police Framingham,,2019
Suffolk State Police Logan Airport,,2019
Ashburnham,"6,330",2019
Auburn,"16,724",2019
Barre,"5,573",2019
Berlin,"3,241",2019
Blackstone,"9,294",2019
Bolton,"5,393",2019
Boylston,"4,694",2019
Brookfield,"3,440",2019
Charlton,"13,679",2019
Douglas,"8,946",2019
Dudley,"11,754",2019
East Brookfield,"2,202",2019
Gardner,"20,628",2019
Grafton,"18,880",2019
Hardwick,"3,039",2019
Harvard,"6,569",2019
Holden,"19,246",2019
Hopedale,"5,929",2019
Hubbardston,"4,801",2019
Lancaster,"8,136",2019
Leicester,"11,368",2019
Leominster,"41,631",2019
Lunenburg,"11,781",2019
Mendon,"6,176",2019
Milford,"29,015",2019
Millbury,"13,837",2019
Millville,"3,249",2019
New Braintree,"1,024",2019
North Brookfield,"4,786",2019
Northborough,"15,075",2019
Northbridge,"16,732",2019
Oakham,"1,955",2019
Oxford,"13,973",2019
Paxton,"4,944",2019
Petersham,"1,245",2019
Phillipston,"1,745",2019
Princeton,"3,459",2019
Royalston,"1,268",2019
Rutland,"8,888",2019
Shrewsbury,"37,983",2019
Southborough,"10,140",2019
Southbridge,"16,826",2019
Spencer,"11,911",2019
Sterling,"8,175",2019
Sturbridge,"9,611",2019
Sutton,"9,551",2019
Templeton,"8,109",2019
Upton,"8,009",2019
Uxbridge,"14,066",2019
Warren,"5,221",2019
Webster,"16,925",2019
West Boylston,"8,216",2019
West Brookfield,"3,767",2019
Westborough,"19,155",2019
Westminster,"7,902",2019
Winchendon,"10,897",2019
U-Mass Worcester,,2019
Fitchburg SC,,2019
Tufts University Worcester,,2019
Tufts University Worcester,,2019
Worcester Polytechnic In,,2019
Col of the Holy Cross,,2019
Quinsigamond CC,,2019
Clark University,,2019
Assumption College,,2019
Assumption College,,2019
Mount Wachusett CC,,2019
Becker College,,2019
MBTA - Worcester County,,2019
Fitchburg State College,,2019
U-Mass Worcester MA014UM00,,2019
Clark University,,2019
Worcester State,,2019
Worcester State Police,,2019
Worcester State Police Weston,,2019
Worcester State Police Holden,,2019
Worcester State University,,2019
Missing,,2019
Suffolk University,,2019
MSCPA Police,,2019
Massachusetts,"6,893,574",2020
Suffolk County,"808,809",2020
Boston,"697,323",2020
Hampden County,"464,146",2020
Springfield,"153,084",2020
Worcester County,"829,646",2020
Essex County,"789,838",2020
Bristol County,"564,034",2020
Middlesex County,"1,615,124",2020
Worcester,"184,850",2020
Plymouth County,"521,320",2020
Lynn,"94,223",2020
Fall River,"89,136",2020
Norfolk County,"706,876",2020
Brockton,"99,171",2020
Holyoke,"40,002",2020
Lowell,"110,876",2020
Abington,"17,306",2020
New Bedford,"94,886",2020
North Attleborough,"29,280",2020
Lawrence,"79,997",2020
Westfield,"41,072",2020
Everett,"46,765",2020
Barnstable County,"211,545",2020
Barnstable,"44,169",2020
Berkshire County,"123,599",2020
Pittsfield,"41,865",2020
Taunton,"57,338",2020
Chicopee,"54,918",2020
Revere,"52,930",2020
MBTA - Suffolk County,,2020
Groveland,"6,856",2020
Haverhill,"64,015",2020
Methuen,"50,810",2020
MBTA - Essex County,,2020
East Longmeadow,"16,181",2020
Hampshire County,"160,147",2020
Northampton,"28,428",2020
Cambridge,"119,938",2020
Framingham,"74,680",2020
Groton,"11,337",2020
Lexington,"33,138",2020
Malden,"60,231",2020
Tewksbury,"31,237",2020
Brookline,"59,057",2020
Plainville,"9,392",2020
Quincy,"94,519",2020
Randolph,"32,052",2020
Stoughton,"29,067",2020
Wareham,"23,619",2020
Athol,"11,682",2020
Clinton,"13,967",2020
Fitchburg,"40,443",2020
Bourne,"19,657",2020
Brewster,"9,714",2020
Chatham,"5,935",2020
Dennis,"13,760",2020
Eastham,"4,874",2020
Falmouth,"30,769",2020
Harwich,"12,068",2020
Mashpee,"14,180",2020
Orleans,"5,745",2020
Provincetown,"2,947",2020
Sandwich,"20,008",2020
Truro,"1,997",2020
Wellfleet,"2,707",2020
Yarmouth,"23,015",2020
Cape Cod Community College,,2020
MBTA - Barnstable County,,2020
Barnstable State Police,,2020
Barnstable State Police Middleboro,,2020
Adams,"7,959",2020
Alford,,2020
Becket,"1,709",2020
Cheshire,"3,118",2020
Clarksburg,"1,631",2020
Dalton,"6,500",2020
Egremont,"1,203",2020
Florida,,2020
Great Barrington,"6,928",2020
Hancock,,2020
Hinsdale,"1,899",2020
Lanesboro,"2,924",2020
Lee,"5,633",2020
Lenox,"4,930",2020
Monterey,921,2020
Mount Washington,,2020
New Ashford,,2020
New Marlboro,,2020
North Adams,"12,620",2020
Otis,"1,531",2020
Peru,832,2020
Richmond,"1,409",2020
Sandisfield,,2020
Savoy,673,2020
Sheffield,"3,115",2020
Stockbridge,"1,884",2020
Tyringham,,2020
Washington,541,2020
West Stockbridge,,2020
Williamstown,"7,397",2020
Windsor,,2020
MA College of Liberal Arts,,2020
MBTA - Berkshire County,,2020
Berkshire State Police,"10,912",2020
Berkshire State Police Weston,,2020
Berkshire State Police Northampton,,2020
Acushnet,"10,604",2020
Attleboro,"45,181",2020
Berkley,"6,864",2020
Dartmouth,"33,986",2020
Dighton,"8,026",2020
Easton,"25,176",2020
Fairhaven,"16,014",2020
Freetown,"9,401",2020
Mansfield,"24,484",2020
Norton,"19,932",2020
Raynham,"14,512",2020
Rehoboth,"12,406",2020
Seekonk,"15,927",2020
Somerset,"18,024",2020
Swansea,"16,854",2020
Westport,"16,003",2020
U-Mass Dartmouth,,2020
Stonehill College,,2020
Bristol Comm College,,2020
Wheaton College,,2020
Uncategorized,,2020
MBTA - Bristol County,,2020
Bristol State Police,,2020
Bristol State Police Framingham,,2020
Bristol State Police Middleboro,,2020
Dukes County,"17,327",2020
Chilmark,927,2020
Edgartown,"4,374",2020
Aquinnah,322,2020
Gosnold,,2020
Oak Bluffs,"4,677",2020
Tisbury,"4,108",2020
West Tisbury,"2,919",2020
MBTA - Dukes County,,2020
Dukes State Police,,2020
Dukes State Police Middleboro,,2020
Amesbury,"17,578",2020
North Shore CC,,2020
Andover,"36,534",2020
Beverly,"42,229",2020
Boxford,"8,328",2020
Danvers,"27,517",2020
Essex,"3,812",2020
Georgetown,"8,783",2020
Gloucester,"30,445",2020
Hamilton,"8,038",2020
Ipswich,"14,097",2020
Lynnfield,"13,093",2020
Manchester-by-the-sea,"5,438",2020
Marblehead,"20,525",2020
Merrimac,"6,992",2020
Middleton,"10,189",2020
Nahant,"3,505",2020
Newbury,"7,163",2020
Newburyport,"18,288",2020
North Andover,"31,341",2020
Peabody,"52,975",2020
Rockport,"7,279",2020
Rowley,"6,509",2020
Salem,"43,154",2020
Salisbury,"9,630",2020
Saugus,"28,397",2020
Swampscott,"15,391",2020
Topsfield,"6,668",2020
Wenham,"5,296",2020
West Newbury,"4,743",2020
Salem State University,,2020
Merrimack College,,2020
North Shore CC,,2020
Endicott College,,2020
Northern Essex Community College,,2020
Gordon College,,2020
Salem State College,,2020
North Shore Community College,,2020
Essex State Police,,2020
Essex State Police Framingham,,2020
Franklin County,"69,679",2020
Ashfield,"1,715",2020
Bernardston,"2,086",2020
Buckland,"1,845",2020
Charlemont,"1,230",2020
Colrain,,2020
Conway,"1,870",2020
Deerfield,"4,976",2020
Erving,"1,745",2020
Gill,"1,464",2020
Greenfield,"17,239",2020
Hawley,,2020
Heath,694,2020
Leverett,"1,836",2020
Leyden,714,2020
Monroe,114,2020
Montague,"8,185",2020
New Salem,"1,024",2020
Northfield,"2,950",2020
Orange,"7,554",2020
Rowe,388,2020
Shelburne,"1,830",2020
Shutesbury,"1,752",2020
Sunderland,"3,622",2020
Warwick,768,2020
Wendell,,2020
Whately,"1,574",2020
Greenfield CC,,2020
MBTA - Franklin County,,2020
Franklin State Police,"6,934",2020
Franklin State Police Holden,,2020
Franklin State Police Northampton,,2020
Agawam,"28,533",2020
Blandford,"1,251",2020
Western New England Coll,,2020
Brimfield,"3,674",2020
Chester,"1,367",2020
Granville,"1,610",2020
Hampden,"5,163",2020
Holland,"2,473",2020
Longmeadow,"15,640",2020
Ludlow,"21,171",2020
Monson,"8,782",2020
Montgomery,,2020
Palmer,"12,200",2020
Russell,"1,787",2020
Southwick,"9,732",2020
Tolland,508,2020
Wales,"1,871",2020
West Springfield,"28,437",2020
Wilbraham,"14,690",2020
Westfield State College,,2020
Holyoke Community College,,2020
Springfield Technical Community College,,2020
Western New England University,,2020
MBTA - Hampden County,,2020
Springfield College,,2020
Hampden State Police,,2020
Hampden State Police Weston,,2020
Hampden State Police Northampton,,2020
Amherst,"40,061",2020
Belchertown,"15,148",2020
Chesterfield,"1,252",2020
Cummington,875,2020
Mt. Holyoke College,,2020
Easthampton,"15,804",2020
Goshen,"1,059",2020
Granby,"6,297",2020
Hadley,"5,352",2020
Hatfield,"3,250",2020
Huntington,"2,167",2020
Middlefield,,2020
Pelham,"1,312",2020
Plainfield,,2020
South Hadley,"17,613",2020
Southampton,"6,213",2020
Ware,"9,694",2020
Westhampton,"1,641",2020
Williamsburg,"2,464",2020
Worthington,"1,177",2020
U-Mass Amherst,,2020
Mt. Holyoke College,,2020
Hampshire College,,2020
Hampshire College,,2020
Smith College,,2020
Smith College,,2020
Amherst College,,2020
MBTA - Hampshire County,,2020
Hampshire State Police,"2,507",2020
Hampshire State Police Northampton,,2020
Acton,"23,728",2020
Regis College,,2020
Arlington,"45,582",2020
Ashby,"3,217",2020
Ashland,"17,842",2020
Ayer,"8,237",2020
Bedford,"14,135",2020
Belmont,"26,136",2020
Billerica,"43,473",2020
Boxborough,"5,856",2020
Burlington,"28,960",2020
Carlisle,"5,267",2020
Chelmsford,"35,369",2020
Concord,"18,952",2020
Dracut,"31,708",2020
Dunstable,"3,410",2020
Holliston,"14,986",2020
Hopkinton,"18,806",2020
Hudson,"19,839",2020
Lincoln,"7,092",2020
Littleton,"10,326",2020
Marlborough,"39,498",2020
Maynard,"11,420",2020
Medford,"57,137",2020
Melrose,"27,975",2020
Natick,"36,200",2020
Newton,"88,281",2020
North Reading,"15,886",2020
Pepperell,"12,114",2020
Reading,"25,417",2020
Sherborn,"4,335",2020
Shirley,"7,632",2020
Somerville,"81,552",2020
Stoneham,"24,329",2020
Stow,"7,266",2020
Sudbury,"19,778",2020
Townsend,"9,515",2020
Tyngsborough,"12,590",2020
Wakefield,"27,114",2020
Waltham,"62,339",2020
Watertown,"36,201",2020
Wayland,"13,859",2020
Westford,"25,011",2020
Weston,"12,146",2020
Wilmington,"23,437",2020
Winchester,"22,827",2020
Woburn,"40,142",2020
Brandeis University,,2020
Brandeis University,,2020
Bentley College,,2020
Framingham State University,,2020
U-Mass Lowell,,2020
Boston and Maine Railroad Police Dept,,2020
Harvard University,,2020
Tufts University Medford,,2020
Tufts University since 01/01/2015,,2020
Boston College,,2020
Lasell College,,2020
Regis College,,2020
Regis College,,2020
Mount IDA College,,2020
MBTA - Middlesex County,,2020
Boston College(Old ORI pre-2011),,2020
MIT,,2020
Framingham SC,,2020
Tufts University prior 01/01/2015,,2020
Middlesex State Police,,2020
Middlesex State Police Weston,,2020
Middlesex State Police Framingham,,2020
Middlesex State Police Holden,,2020
Nantucket County,"11,484",2020
Nantucket,"11,484",2020
MBTA - Nantucket County,,2020
Nantucket State Police,,2020
Mt. Ida College,,2020
Avon,"4,561",2020
Bellingham,"17,331",2020
Braintree,"37,278",2020
Canton,"24,015",2020
Cohasset,"8,653",2020
Dedham,"25,217",2020
Dover,"6,176",2020
Foxborough,"18,539",2020
Franklin,"34,281",2020
Holbrook,"11,035",2020
Medfield,"13,034",2020
Medway,"13,534",2020
Millis,"8,339",2020
Milton,"27,600",2020
Needham,"31,586",2020
Norfolk,"12,068",2020
Norwood,"29,791",2020
Sharon,"19,011",2020
Walpole,"25,273",2020
Wellesley,"28,687",2020
Westwood,"16,578",2020
Weymouth,"58,090",2020
Wrentham,"12,112",2020
Babson College,,2020
Dean College,,2020
Mass Bay Community College,,2020
Curry College,,2020
MBTA - Norfolk County,,2020
Wellesley College,,2020
Norfolk State Police,,2020
Norfolk State Police Framingham,,2020
Norfolk State Police Middleboro,,2020
Bridgewater,"8,107",2020
Carver,"12,197",2020
Duxbury,"16,561",2020
East Bridgewater,"15,103",2020
Halifax,"8,207",2020
Hanover,"15,143",2020
Hanson,"11,367",2020
Hingham,"25,816",2020
Hull,"10,850",2020
Kingston,"14,481",2020
Lakeville,"12,053",2020
Marion,"5,396",2020
Marshfield,"26,936",2020
Mattapoisett,"6,659",2020
Middleborough,"26,606",2020
Norwell,"11,605",2020
Pembroke,"19,211",2020
Plymouth,"64,199",2020
Plympton,"3,105",2020
Rochester,"5,933",2020
Rockland,"18,652",2020
Scituate,"19,655",2020
West Bridgewater,"7,568",2020
Whitman,"15,814",2020
Bridgewater State University,,2020
Massasoit Community College,,2020
MBTA - Plymouth County,,2020
Plymouth State Police,,2020
Plymouth State Police Middleboro,,2020
Boston College(Old ORI),,2020
"Capitol PD, Boston",,2020
Chelsea,"39,995",2020
Winthrop,"18,561",2020
Environmental Police,,2020
U-Mass Boston,,2020
MBTA,,2020
Boston University,,2020
Northeastern University,,2020
Mass College of Art,,2020
Tufts University Suffolk,,2020
Tufts University Suffolk prior to 01/01/2017,,2020
Bunker Hill Community College,,2020
Beth Israel Deaconess Med Ctr,,2020
Simmons University,,2020
Mass General Hospital,,2020
Fisher College,,2020
Fisher College,,2020
Wentworth Institute of Technology,,2020
Roxbury Community College,,2020
MCPHS University,,2020
Emerson College,,2020
Emerson College,,2020
Northeastern U,,2020
Wentworth Institute,,2020
Suffolk State Police,,2020
Suffolk State Police Weston,,2020
Suffolk State Police Framingham,,2020
Suffolk State Police Logan Airport,,2020
Ashburnham,"6,344",2020
Auburn,"16,736",2020
Barre,"5,568",2020
Berlin,"3,266",2020
Blackstone,"9,269",2020
Bolton,"5,455",2020
Boylston,"4,728",2020
Brookfield,"3,442",2020
Charlton,"13,720",2020
Douglas,"9,054",2020
Dudley,"11,745",2020
East Brookfield,"2,200",2020
Gardner,"20,629",2020
Grafton,"18,908",2020
Hardwick,"3,047",2020
Harvard,"6,595",2020
Holden,"19,412",2020
Hopedale,"5,924",2020
Hubbardston,"4,854",2020
Lancaster,"8,040",2020
Leicester,"11,329",2020
Leominster,"41,598",2020
Lunenburg,"11,874",2020
Mendon,"6,232",2020
Milford,"29,066",2020
Millbury,"13,949",2020
Millville,"3,247",2020
New Braintree,"1,021",2020
North Brookfield,"4,778",2020
Northborough,"15,105",2020
Northbridge,"16,699",2020
Oakham,"1,953",2020
Oxford,"13,967",2020
Paxton,"4,953",2020
Petersham,"1,244",2020
Phillipston,"1,743",2020
Princeton,"3,477",2020
Royalston,"1,272",2020
Rutland,"9,000",2020
Shrewsbury,"38,656",2020
Southborough,"10,202",2020
Southbridge,"16,805",2020
Spencer,"11,896",2020
Sterling,"8,172",2020
Sturbridge,"9,585",2020
Sutton,"9,600",2020
Templeton,"8,110",2020
Upton,"8,081",2020
Uxbridge,"14,202",2020
Warren,"5,203",2020
Webster,"16,876",2020
West Boylston,"8,074",2020
West Brookfield,"3,715",2020
Westborough,"19,138",2020
Westminster,"8,038",2020
Winchendon,"10,908",2020
U-Mass Worcester,,2020
Fitchburg SC,,2020
Tufts University Worcester,,2020
Tufts University Worcester,,2020
Worcester Polytechnic In,,2020
Col of the Holy Cross,,2020
Quinsigamond CC,,2020
Clark University,,2020
Assumption College,,2020
Assumption College,,2020
Mount Wachusett CC,,2020
Becker College,,2020
MBTA - Worcester County,,2020
Fitchburg State College,,2020
U-Mass Worcester MA014UM00,,2020
Clark University,,2020
Worcester State,,2020
Worcester State Police,,2020
Worcester State Police Weston,,2020
Worcester State Police Holden,,2020
Worcester State University,,2020
Missing,,2020
Suffolk University,,2020
MSCPA Police,,2020
Massachusetts,"6,984,723",2021
Suffolk County,"816,281",2021
Boston,"704,758",2021
