Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Massachusetts,22.28,0.02,0.02,0,0.32,0.32,0.01,0.52,0.12,0.09,0.1,0.22,9.62,2.4,0.24,0.52,1.1,0.54,7.22,1.78,0.98,0.62,0.18,9.11,0.85,0.75,0.04,0.06,0.04,0,0,2019
Suffolk County,38.8,0.06,0.06,0,0.38,0.34,0.04,1.53,0.28,0.22,0.46,0.57,17.1,4.35,0.43,1.11,1.88,0.93,12.75,2.4,1.42,0.66,0.32,15.86,1.45,1.31,0.02,0.13,0,0.01,0,2019
Boston,37.1,0.06,0.06,0,0.34,0.31,0.04,1.49,0.29,0.22,0.52,0.45,16.05,4.22,0.44,1.15,1.98,0.65,11.83,2.45,1.45,0.67,0.32,15.28,1.41,1.28,0.02,0.11,0,0.01,0,2019
Hampden County,41.39,0.07,0.06,0,0.5,0.5,0.01,1.1,0.33,0.18,0.1,0.49,18.95,3.96,0.69,0.9,1.86,0.5,14.99,3.69,2.12,1.16,0.41,15.13,1.86,1.7,0.09,0.07,0.08,0,0,2019
Springfield,61.46,0.13,0.13,,0.53,0.52,0.01,2.32,0.7,0.34,0.21,1.07,32.3,6.08,1.41,1.59,2.57,0.5,26.22,4.83,2.72,1.56,0.56,18,3.2,2.96,0.13,0.12,0.14,0.01,,2019
Worcester County,20.82,0.02,0.02,0,0.35,0.35,0,0.4,0.07,0.08,0.05,0.2,9.27,2.41,0.32,0.53,1.16,0.41,6.86,1.86,1.13,0.56,0.17,8.02,0.85,0.76,0.04,0.05,0.03,0.01,0,2019
Essex County,18.22,0.02,0.02,0,0.24,0.24,0.01,0.34,0.1,0.07,0.04,0.14,8.2,2.06,0.26,0.39,1,0.4,6.14,1.37,0.71,0.55,0.1,7.21,0.81,0.7,0.04,0.07,0.03,0,0,2019
Bristol County,25.61,0.03,0.02,0,0.42,0.42,0,0.65,0.12,0.13,0.07,0.32,12.65,2.92,0.24,0.63,1.29,0.76,9.73,2.36,1.35,0.81,0.2,8.57,0.87,0.73,0.06,0.08,0.07,0,0,2019
Middlesex County,15.4,0.01,0.01,0,0.2,0.19,0,0.26,0.05,0.04,0.05,0.11,5.48,1.38,0.12,0.33,0.62,0.32,4.1,1.17,0.58,0.45,0.14,7.65,0.59,0.51,0.03,0.06,0.03,0,0,2019
Worcester,39.02,0.07,0.07,,0.24,0.24,,1.24,0.22,0.26,0.16,0.6,17.08,4.77,1.02,1.21,2.19,0.35,12.31,4.06,2.56,1.05,0.45,14.28,2,1.85,0.03,0.12,0.02,0.03,,2019
