District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Abby Kelley Foster Charter Public (District),4450000,     119.6,98.3,  11.9 to 1,74.1,86.6,90.6,2022
Abington,10000,     146.7,99.0,  14.7 to 1,80.5,95.9,96.1,2022
Academy Of the Pacific Rim Charter Public (District),4120000,      60.5,73.6,   8.4 to 1,33.9,85.1,50.7,2022
Acton-Boxborough,6000000,     401.2,100.0,  12.9 to 1,87.1,96.8,98.8,2022
Acushnet,30000,      68.0,100.0,  13.8 to 1,80.9,97.1,94.1,2022
Advanced Math and Science Academy Charter (District),4300000,      80.3,92.5,  12.0 to 1,82.4,78.1,78.4,2022
Agawam,50000,     289.4,100.0,  12.0 to 1,90.0,96.9,95.7,2022
Alma del Mar Charter School (District),4090000,      73.0,71.2,  12.9 to 1,34.2,87.7,32.4,2022
Amesbury,70000,     162.8,100.0,  11.0 to 1,89.9,95.0,98.9,2022
Amherst,80000,     112.9,95.6,   9.3 to 1,87.8,95.7,96.6,2022
Amherst-Pelham,6050000,     111.9,92.7,  11.4 to 1,81.1,97.3,86.5,2022
Andover,90000,     484.2,99.6,  11.3 to 1,89.4,98.2,98.4,2022
Argosy Collegiate Charter School (District),35090000,      44.2,67.0,  12.8 to 1,35.7,81.3,53.8,2022
Arlington,100000,     469.7,99.3,  12.5 to 1,79.5,93.5,97.6,2022
Ashburnham-Westminster,6100000,     162.5,99.4,  14.0 to 1,89.1,94.7,97.6,2022
Ashland,140000,     208.5,99.5,  13.8 to 1,84.6,98.8,95.9,2022
Assabet Valley Regional Vocational Technical,8010000,     113.0,95.6,  10.1 to 1,87.6,95.6,93.8,2022
Athol-Royalston,6150000,     116.5,99.9,  13.2 to 1,70.6,88.8,94.4,2022
Atlantis Charter (District),4910000,      99.5,83.7,  12.8 to 1,63.5,83.9,70.4,2022
Attleboro,160000,     384.5,99.7,  15.3 to 1,84.0,94.5,96.4,2022
Auburn,170000,     188.1,99.5,  13.7 to 1,88.3,94.7,93.0,2022
Avon,180000,      70.0,98.6,  10.2 to 1,88.6,95.7,95.0,2022
Ayer Shirley School District,6160000,     143.8,99.9,  11.3 to 1,84.2,94.8,97.2,2022
Barnstable,200000,     409.2,99.3,  11.6 to 1,85.4,93.5,96.6,2022
Baystate Academy Charter Public School (District),35020000,      53.0,67.9,   8.6 to 1,43.4,81.1,47.1,2022
Bedford,230000,     242.4,100.0,  10.7 to 1,85.0,95.4,97.7,2022
Belchertown,240000,     172.6,100.0,  12.3 to 1,95.9,100.0,95.6,2022
Bellingham,250000,     154.1,100.0,  12.9 to 1,86.8,96.1,97.5,2022
Belmont,260000,     282.5,99.6,  15.4 to 1,90.8,98.1,98.7,2022
Benjamin Banneker Charter Public (District),4200000,      21.0,85.7,  15.7 to 1,76.2,90.5,81.0,2022
Benjamin Franklin Classical Charter Public (District),4470000,      57.5,87.8,  14.2 to 1,63.5,91.3,80.4,2022
Berkley,270000,      70.4,100.0,  12.4 to 1,81.5,91.5,97.2,2022
Berkshire Arts and Technology Charter Public (District),4140000,      38.6,58.3,   9.5 to 1,76.0,89.0,37.5,2022
Berkshire Hills,6180000,     112.9,100.0,  10.5 to 1,83.7,91.2,94.7,2022
Berlin-Boylston,6200000,      91.0,100.0,  11.6 to 1,87.4,94.0,98.9,2022
Beverly,300000,     361.7,99.4,  12.8 to 1,81.6,95.7,95.1,2022
Billerica,310000,     353.7,100.0,  13.4 to 1,89.0,94.3,96.6,2022
Blackstone Valley Regional Vocational Technical,8050000,     105.0,99.0,  11.8 to 1,88.6,83.8,95.3,2022
Blackstone-Millville,6220000,     114.9,99.1,  13.4 to 1,70.5,90.3,91.2,2022
Blue Hills Regional Vocational Technical,8060000,      80.0,100.0,  11.5 to 1,95.0,88.7,100.0,2022
Boston,350000,"   4,256.0",97.9,  10.8 to 1,84.4,93.7,90.2,2022
Boston Collegiate Charter (District),4490000,      75.2,78.1,   9.3 to 1,52.3,84.5,61.0,2022
Boston Day and Evening Academy Charter (District),4240000,      29.3,85.3,  11.9 to 1,88.0,100.0,51.4,2022
Boston Green Academy Horace Mann Charter School (District),4110000,      44.6,93.8,  10.9 to 1,70.6,93.7,69.7,2022
Boston Preparatory Charter Public (District),4160000,      68.8,81.1,  10.1 to 1,36.0,81.1,68.0,2022
Boston Renaissance Charter Public (District),4810000,      80.8,96.2,  11.6 to 1,69.5,86.4,89.4,2022
Bourne,360000,     150.0,99.3,  10.4 to 1,86.0,94.7,96.7,2022
Boxford,380000,      69.3,100.0,  10.7 to 1,75.3,97.7,100.0,2022
Braintree,400000,     412.2,99.8,  13.0 to 1,92.0,96.6,98.6,2022
Brewster,410000,      44.8,100.0,   9.8 to 1,83.3,92.2,95.7,2022
Bridge Boston Charter School (District),4170000,      38.5,74.0,   8.7 to 1,42.9,92.2,79.5,2022
Bridgewater-Raynham,6250000,     336.5,100.0,  16.0 to 1,88.7,97.6,98.0,2022
Brimfield,430000,      26.3,100.0,  10.2 to 1,88.6,96.2,96.4,2022
Bristol County Agricultural,9100000,      36.8,100.0,  13.6 to 1,84.6,89.1,92.7,2022
Bristol-Plymouth Regional Vocational Technical,8100000,     105.3,96.2,  12.7 to 1,87.2,90.0,94.2,2022
Brockton,440000,"   1,112.5",98.8,  13.7 to 1,81.2,93.4,94.5,2022
Brooke Charter School (District),4280000,     180.4,64.0,  11.9 to 1,52.9,88.2,33.8,2022
Brookfield,450000,      22.9,100.0,  12.2 to 1,78.2,95.6,92.3,2022
Brookline,460000,     627.4,99.5,  11.0 to 1,86.5,95.1,95.6,2022
Burlington,480000,     310.9,99.9,  11.1 to 1,91.8,97.2,97.3,2022
Cambridge,490000,     755.9,98.6,   8.7 to 1,83.1,91.7,95.6,2022
Canton,500000,     238.9,100.0,  13.5 to 1,89.4,95.0,96.6,2022
Cape Cod Lighthouse Charter (District),4320000,      18.2,91.5,  13.7 to 1,100.0,72.7,57.1,2022
Cape Cod Regional Vocational Technical,8150000,      67.6,86.7,   9.7 to 1,76.2,78.5,77.6,2022
Carlisle,510000,      59.2,100.0,  10.4 to 1,91.9,97.0,98.4,2022
Carver,520000,     124.0,100.0,  12.2 to 1,89.7,96.9,94.7,2022
Central Berkshire,6350000,     118.0,99.2,  12.8 to 1,94.8,96.6,96.0,2022
Chelmsford,560000,     380.9,99.1,  13.0 to 1,87.1,97.3,96.0,2022
Chelsea,570000,     477.0,98.7,  12.7 to 1,65.9,89.7,93.8,2022
Chesterfield-Goshen,6320000,      16.8,94.0,   8.8 to 1,73.8,85.7,95.0,2022
Chicopee,610000,     580.8,99.3,  11.7 to 1,88.1,94.3,97.0,2022
Christa McAuliffe Charter Public (District),4180000,      36.8,89.1,  10.6 to 1,68.7,90.5,75.6,2022
City on a Hill Charter Public School (District),4370000,      20.3,74.7,  11.3 to 1,35.0,83.2,70.0,2022
Clarksburg,630000,      15.2,94.7,  13.9 to 1,84.2,100.0,88.2,2022
Clinton,640000,     154.4,100.0,  12.3 to 1,83.8,92.9,98.1,2022
Codman Academy Charter Public (District),4380000,      44.6,68.4,   7.7 to 1,57.5,88.8,47.4,2022
Cohasset,650000,     120.1,99.2,  11.8 to 1,82.9,94.6,95.3,2022
Collegiate Charter School of Lowell (District),35030000,      57.9,73.9,  19.3 to 1,24.2,77.6,63.8,2022
Community Charter School of Cambridge (District),4360000,      31.9,78.5,   9.0 to 1,40.9,89.7,42.6,2022
Community Day Charter Public School - Gateway (District),4260000,      43.2,74.5,   9.3 to 1,41.7,81.5,51.2,2022
Community Day Charter Public School - Prospect (District),4400000,      39.4,82.2,  10.2 to 1,64.5,79.7,56.1,2022
Community Day Charter Public School - R. Kingman Webster (District),4310000,      44.5,75.3,   8.9 to 1,40.4,91.0,56.8,2022
Concord,670000,     176.4,100.0,  11.3 to 1,89.6,97.1,100.0,2022
Concord-Carlisle,6400000,     107.4,100.0,  12.3 to 1,90.1,98.1,92.0,2022
Conservatory Lab Charter (District),4390000,      29.5,81.4,  15.2 to 1,56.8,94.1,54.8,2022
Conway,680000,      13.9,100.0,  10.5 to 1,85.6,100.0,100.0,2022
Danvers,710000,     275.3,100.0,  11.7 to 1,85.8,95.8,97.8,2022
Dartmouth,720000,     272.3,99.6,  12.5 to 1,90.4,95.5,96.6,2022
Dedham,730000,     228.6,100.0,  11.2 to 1,91.8,96.1,97.5,2022
Deerfield,740000,      33.9,97.1,   9.6 to 1,88.2,94.1,89.7,2022
Dennis-Yarmouth,6450000,     278.3,99.3,  10.0 to 1,88.0,95.0,97.6,2022
Dighton-Rehoboth,6500000,     217.0,99.5,  11.8 to 1,87.8,96.6,96.0,2022
Douglas,770000,      98.5,98.5,  12.0 to 1,85.0,89.7,96.2,2022
Dover,780000,      41.0,100.0,  11.9 to 1,90.2,90.7,100.0,2022
Dover-Sherborn,6550000,     100.2,99.0,  11.6 to 1,93.6,96.0,95.8,2022
Dracut,790000,     228.2,100.0,  15.9 to 1,81.3,93.5,98.3,2022
Dudley Street Neighborhood Charter School (District),4070000,      19.5,89.7,  14.7 to 1,69.2,100.0,85.0,2022
Dudley-Charlton Reg,6580000,     273.1,100.0,  12.6 to 1,91.0,96.1,96.9,2022
Duxbury,820000,     217.7,100.0,  12.9 to 1,87.6,98.3,98.3,2022
East Bridgewater,830000,     164.9,98.8,  12.8 to 1,78.3,95.8,100.0,2022
East Longmeadow,870000,     203.4,100.0,  12.3 to 1,92.6,99.5,98.6,2022
Eastham,850000,      18.3,100.0,  10.5 to 1,86.3,100.0,100.0,2022
Easthampton,860000,     122.2,99.7,  11.6 to 1,89.9,95.1,99.2,2022
Easton,880000,     258.2,100.0,  13.2 to 1,91.5,98.3,98.5,2022
Edgartown,890000,      44.6,95.4,   8.9 to 1,76.9,95.5,93.2,2022
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,      34.2,100.0,  11.6 to 1,82.5,88.9,88.1,2022
Erving,910000,      18.7,100.0,   7.1 to 1,84.0,94.7,95.2,2022
