"","District Code","District Name","District Type","Grade","geocode_address","School_Longitude","School_Latitude"
"1",4450000,"Abby Kelley Foster Charter Public (District)","Charter District","K,01,02,03,04,05,06,07,08,09,10,11,12","10 New Bond Street, Worcester, MA, 01606",-71.8031163,42.3060491
"2",10000,"Abington","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1071 Washington St., Abington, MA, 02351",-70.9460232,42.1201244
"3",4120000,"Academy Of the Pacific Rim Charter Public (District)","Charter District","05,06,07,08,09,10,11,12","1 Westinghouse Plaza Bldg B, Hyde Park, MA, 02136",-71.1324151,42.2458873
"4",20000,"Acton (non-op)","Public School District",NA,"16 Charter Road, Acton, MA, 01720",-71.4578707,42.4767386
"5",6000000,"Acton-Boxborough","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","15 Charter Rd, Acton, MA, 01720",-71.4552502,42.4777198
"6",30000,"Acushnet","Public School District","PK,K,01,02,03,04,05,06,07,08","708 Middle Road, Suite 1, Acushnet, MA, 02743",-70.9050694,41.7233556
"7",40000,"Adams (non-op)","Public School District",NA,"191 Church Street, Cheshire, MA, 01225",-73.1582046,42.5637553
"8",4300000,"Advanced Math and Science Academy Charter (District)","Charter District","06,07,08,09,10,11,12","201 Forest Street, Marlborough, MA, 01752",-71.5778176,42.3336351
"9",50000,"Agawam","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1305 Springfield St, Suite 1, Feeding Hills, MA, 01030",-72.6739317,42.0640158
"10",60000,"Alford (non-op)","Public School District",NA,"PO Box 339, Sheffield, MA, 01257",-73.3944466,42.0937726
"11",4090000,"Alma del Mar Charter School (District)","Charter District","K,01,02,03,04,05,06,07,08","515 Belleville Ave, New Bedford, MA, 02746",-70.9230882,41.6655071
"12",70000,"Amesbury","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","5 Highland Street, Amesbury, MA, 01913",-70.94233,42.8509277
"13",80000,"Amherst","Public School District","PK,K,01,02,03,04,05,06","170 Chestnut Street, Amherst, MA, 01002",-72.510452,42.3844908
"14",6050000,"Amherst-Pelham","Public School District","07,08,09,10,11,12","170 Chestnut Street, Amherst, MA, 01002",-72.510452,42.3844908
"15",90000,"Andover","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","30 Whittier Court, Andover, MA, 01810",-71.1356893,42.6549387
"16",1040000,"Aquinnah (non-op)","Public School District",NA,"4 Pine Street, Vineyard Haven, MA, 02568",-70.6089933,41.4537456
"17",35090000,"Argosy Collegiate Charter School (District)","Charter District","06,07,08,09,10,11,12","263 Hamlet Street, Fall River, MA, 02724",-71.1615715,41.6886922
"18",100000,"Arlington","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","869 Massachusetts Avenue, Arlington, MA, 02476",-71.1612874,42.4184881
"19",110000,"Ashburnham (non-op)","Public School District",NA,"11 Oakmont Drive, Ashburnham, MA, 01430",-71.9235287,42.6037371
"20",6100000,"Ashburnham-Westminster","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","11 Oakmont Drive, Ashburnham, MA, 01430",-71.9235287,42.6037371
"21",120000,"Ashby (non-op)","Public School District",NA,"23 Main Street, Townsend, MA, 01469",-71.660831,42.6516817
"22",130000,"Ashfield (non-op)","Public School District",NA,"24 Ashfield Road, Shelburne Falls, MA, 01370",-72.7557512,42.6164439
"23",140000,"Ashland","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","87 West Union Street, Ashland, MA, 01721",-71.4752665,42.2517274
"24",8010000,"Assabet Valley Regional Vocational Technical","Public School District","09,10,11,12","215 Fitchburg Street, Marlborough, MA, 01752",-71.5669185,42.3706385
"25",150000,"Athol (non-op)","Public School District",NA,"P.O.Box 968, Athol, MA, 01331",-72.2271292,42.5938138
"26",6150000,"Athol-Royalston","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1062 Pleasant Street, Athol, MA, 01331",-72.2126558,42.5733073
"27",4910000,"Atlantis Charter (District)","Charter District","K,01,02,03,04,05,06,07,08,09,10,11,12","991 Jefferson St, Fall River, MA, 02721",-71.1437208,41.6702484
"28",160000,"Attleboro","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1 Blue Pride Way, Attleboro, MA, 02703",-71.3038593,41.9390454
"29",170000,"Auburn","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","5 West Street, Auburn, MA, 01501",-71.8681641,42.1836404
"30",180000,"Avon","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1 Patrick Clark Drive, Avon, MA, 02322",-71.0455828,42.1158867
"31",190000,"Ayer (non-op)","Public School District",NA,"141 Washington Street, Ayer, MA, 01432",-71.5761971,42.5670352
"32",6160000,"Ayer Shirley School District","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","115 Washington Street, Ayer, MA, 01432",-71.578822,42.5659622
"33",200000,"Barnstable","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","P O Box 955, Hyannis, MA, 02601",-70.2881124,41.6524911
"34",210000,"Barre (non-op)","Public School District",NA,"872 South Street, Barre, MA, 01005",-72.1135912,42.3984438
"35",35020000,"Baystate Academy Charter Public School (District)","Charter District","06,07,08,09,10,11,12","2001 Roosevelt Avenue, Springfield, MA, 01104",-72.5454398,42.1349863
"36",220000,"Becket (non-op)","Public School District",NA,"PO Box 299, Dalton, MA, 01227",-73.17,42.47
"37",230000,"Bedford","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","97 McMahon Road, Bedford, MA, 01730",-71.2860717,42.4883613
"38",240000,"Belchertown","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","PO Box 841, Belchertown, MA, 01007",-72.4008884,42.2770346
"39",250000,"Bellingham","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","4 Mechanic Street, Bellingham, MA, 02019",-71.4741812,42.0872215
"40",260000,"Belmont","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","644 Pleasant Street, Belmont, MA, 02478",-71.1771117,42.3969809
"41",4200000,"Benjamin Banneker Charter Public (District)","Charter District","PK,K,01,02,03,04,05,06","21 Notre Dame Avenue, Cambridge, MA, 02140",-71.1315943,42.3921284
"42",4470000,"Benjamin Franklin Classical Charter Public (District)","Charter District","K,01,02,03,04,05,06,07,08","500 Financial Park, Franklin, MA, 02038",-71.420666,42.058578
"43",270000,"Berkley","Public School District","PK,K,01,02,03,04,05,06,07,08","21 North Main Street, Berkley, MA, 02779",-71.0871153,41.8476289
"44",4140000,"Berkshire Arts and Technology Charter Public (District)","Charter District","06,07,08,09,10,11,12","1 Commercial Pl, PO Box 267, Adams, MA, 01220",-73.1174344,42.6242251
"45",6180000,"Berkshire Hills","Public School District","PK,K,01,02,03,04,05,06,07,08,09,10,11,12","50 Main Street, PO Box 617, Stockbridge, MA, 01262",-73.3266559,42.2974781
